,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:09:23.397658+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:33.401981+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:43.405453+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:53.410910+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:03.430784+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:13.450038+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:22.898000+00:00,,351.1875,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:23.929000+00:00,,351.1875,-3.8125,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:24.977000+00:00,,351.25,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:26.023000+00:00,,351.375,-3.9375,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:27.070000+00:00,,351.5,-3.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:28.121000+00:00,,351.5,-3.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:29.171000+00:00,,351.625,-3.8125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:30.231000+00:00,,351.6875,-3.9375,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:31.277000+00:00,,351.75,-3.625,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:32.325000+00:00,,351.9375,-3.8125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:33.356000+00:00,,352.0,-3.875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:34.401000+00:00,,352.0625,-3.75,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:35.447000+00:00,,352.25,-3.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:36.498000+00:00,,352.25,-3.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:37.550000+00:00,,352.375,-3.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:38.600000+00:00,,352.5,-3.875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:39.651000+00:00,,352.625,-3.9375,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:40.700000+00:00,,352.6875,-4.0,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:41.750000+00:00,,352.8125,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:42.799000+00:00,,352.9375,-3.8125,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:43.847000+00:00,,352.9375,-3.8125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:44.884000+00:00,,353.0625,-3.875,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:45.931000+00:00,,353.125,-3.875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:46.979000+00:00,,353.25,-4.0625,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:48.030000+00:00,,353.4375,-3.9375,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:49.079000+00:00,,353.5625,-3.875,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:50.132000+00:00,,353.625,-3.8125,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:51.184000+00:00,,353.75,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:52.235000+00:00,,353.8125,-3.875,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:53.268000+00:00,,353.9375,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:54.300000+00:00,,354.0625,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:55.334000+00:00,,354.0625,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:56.365000+00:00,,354.1875,-3.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:57.398000+00:00,,354.1875,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:58.439000+00:00,,354.3125,-3.875,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:09:59.474000+00:00,,354.4375,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:00.519000+00:00,,354.5,-4.0,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:01.566000+00:00,,354.5625,-3.875,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:02.616000+00:00,,354.625,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:03.663000+00:00,,354.6875,-3.9375,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:04.710000+00:00,,354.8125,-3.9375,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:05.754000+00:00,,354.9375,-3.875,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:06.801000+00:00,,355.0,-3.9375,-0.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:07.852000+00:00,,355.125,-3.875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:08.900000+00:00,,355.25,-3.8125,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:09.950000+00:00,,355.25,-3.875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:10.997000+00:00,,355.375,-3.8125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:12.047000+00:00,,355.4375,-3.875,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:13.095000+00:00,,355.5625,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:14.127000+00:00,,355.625,-3.9375,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:10:15.160000+00:00,,355.6875,-3.875,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
