,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:04:02.943374+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:12.962287+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:22.978312+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:32.992734+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:43.011745+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:53.014858+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:03:57.005000+00:00,,334.375,-3.0625,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:03:58.038000+00:00,,334.5,-3.0625,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:03:59.074000+00:00,,334.4375,-3.125,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:00.108000+00:00,,334.4375,-3.0625,-1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:01.142000+00:00,,334.4375,-3.0625,-1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:02.177000+00:00,,334.4375,-3.0,-1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:03.210000+00:00,,334.4375,-3.0,-1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:04.255000+00:00,,334.375,-2.9375,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:05.298000+00:00,,334.375,-2.9375,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:06.337000+00:00,,334.375,-3.0,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:04:07.384000+00:00,,334.375,-2.875,-1.625,,,,,,,,,,,,,,,,,,,,,,,,,
