,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:06:53.186934+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:07:03.203058+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:07:13.217082+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:07:23.231257+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:07:33.245449+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:07:43.265241+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:44.160000+00:00,,337.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:45.205000+00:00,,337.1875,-3.6875,-1.3125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:46.250000+00:00,,337.3125,-3.625,-1.3125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:47.300000+00:00,,337.3125,-3.5,-1.3125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:48.351000+00:00,,337.4375,-3.5625,-1.3125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:49.402000+00:00,,337.5625,-3.5625,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:50.450000+00:00,,337.5625,-3.5,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:51.500000+00:00,,337.6875,-3.5,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:52.546000+00:00,,337.75,-3.5625,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:53.591000+00:00,,337.8125,-3.5625,-1.3125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:54.626000+00:00,,337.9375,-3.6875,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:06:55.673000+00:00,,338.0,-3.5625,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
