,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:01:52.733425+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:02:02.750386+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:02:12.765751+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:02:22.781127+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:02:32.801379+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:02:42.818333+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:01:44.341000+00:00,,336.375,-3.0625,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:01:45.391000+00:00,,336.3125,-3.0625,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:01:46.437000+00:00,,336.3125,-3.0625,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:01:47.485000+00:00,,336.25,-3.0625,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:01:48.535000+00:00,,336.1875,-3.0625,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:01:49.584000+00:00,,336.25,-3.0625,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:01:50.634000+00:00,,336.1875,-3.0625,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:01:51.685000+00:00,,336.1875,-3.0,-1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:01:52.731000+00:00,,336.25,-3.0,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
