,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:26:04.770908+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:14.790792+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:24.810422+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:34.828364+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:44.833344+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:54.850133+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:01.776000+00:00,,0.3125,-3.1875,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:02.813000+00:00,,0.3125,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:03.848000+00:00,,0.375,-3.0,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:04.882000+00:00,,0.375,-3.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:05.928000+00:00,,0.3125,-2.875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:06.980000+00:00,,0.375,-2.9375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:08.029000+00:00,,0.3125,-2.9375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:09.085000+00:00,,0.3125,-2.9375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:10.136000+00:00,,0.3125,-2.9375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:11.187000+00:00,,0.3125,-3.0625,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:12.237000+00:00,,0.25,-3.125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:13.271000+00:00,,0.3125,-3.0,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:14.322000+00:00,,0.3125,-3.0625,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:15.373000+00:00,,0.3125,-3.125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:16.423000+00:00,,0.1875,-3.125,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:17.468000+00:00,,0.25,-3.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:18.517000+00:00,,0.25,-3.0,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:19.567000+00:00,,0.1875,-3.0,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:26:20.621000+00:00,,0.1875,-3.0,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
