,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:22:24.485568+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:34.488954+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:44.500079+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:54.503901+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:04.522954+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:14.530884+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:15.055000+00:00,,4.5,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:16.104000+00:00,,4.5,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:17.138000+00:00,,4.5,-3.3125,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:18.185000+00:00,,4.4375,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:19.234000+00:00,,4.5,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:20.286000+00:00,,4.5,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:21.333000+00:00,,4.4375,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:22.384000+00:00,,4.5,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:23.426000+00:00,,4.4375,-3.25,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:24.459000+00:00,,4.375,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:25.512000+00:00,,4.375,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:26.563000+00:00,,4.3125,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:27.610000+00:00,,4.3125,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:28.651000+00:00,,4.25,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:29.698000+00:00,,4.125,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:30.752000+00:00,,4.1875,-3.25,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:31.803000+00:00,,4.125,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:32.853000+00:00,,4.0625,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:33.896000+00:00,,4.0625,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:34.924000+00:00,,4.0625,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:35.960000+00:00,,4.0,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:37.007000+00:00,,4.0,-3.25,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:38.053000+00:00,,4.0625,-3.375,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:39.104000+00:00,,4.0,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:40.155000+00:00,,3.9375,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:41.203000+00:00,,4.0,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:42.254000+00:00,,3.875,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:43.303000+00:00,,3.8125,-3.25,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:44.355000+00:00,,3.875,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:45.406000+00:00,,3.875,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:46.440000+00:00,,3.8125,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:47.486000+00:00,,3.875,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:48.532000+00:00,,3.8125,-3.3125,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:49.569000+00:00,,3.8125,-3.3125,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:50.600000+00:00,,3.8125,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:51.634000+00:00,,3.8125,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:52.667000+00:00,,3.875,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:53.708000+00:00,,3.9375,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:54.751000+00:00,,3.875,-3.375,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:55.784000+00:00,,3.8125,-3.3125,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:56.829000+00:00,,3.8125,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:57.883000+00:00,,3.8125,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:58.933000+00:00,,3.8125,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:59.980000+00:00,,3.75,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:01.028000+00:00,,3.75,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:02.078000+00:00,,3.75,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:03.135000+00:00,,3.6875,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:04.188000+00:00,,3.6875,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:05.232000+00:00,,3.6875,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:06.277000+00:00,,3.625,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:07.322000+00:00,,3.625,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:08.373000+00:00,,3.625,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:09.424000+00:00,,3.625,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:10.470000+00:00,,3.625,-3.25,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:11.522000+00:00,,3.625,-3.1875,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:12.570000+00:00,,3.625,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:13.617000+00:00,,3.5625,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:23:14.664000+00:00,,3.5625,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:15.075000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:16.109000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:17.153000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:18.204000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:19.255000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:20.302000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:21.353000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:22:22.393000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
