,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:27:34.911041+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:44.915113+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:54.933447+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:04.953471+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:14.972655+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:24.987700+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:34.839000+00:00,,358.6875,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:35.873000+00:00,,358.625,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:36.914000+00:00,,358.625,-3.3125,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:37.948000+00:00,,358.5625,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:38.984000+00:00,,358.625,-3.25,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:40.031000+00:00,,358.625,-3.25,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:41.080000+00:00,,358.5625,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:42.110000+00:00,,358.5625,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:43.155000+00:00,,358.5,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:44.203000+00:00,,358.4375,-3.1875,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:45.248000+00:00,,358.5,-3.125,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:46.298000+00:00,,358.4375,-3.1875,-0.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:47.344000+00:00,,358.4375,-3.1875,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:48.394000+00:00,,358.4375,-3.25,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:49.440000+00:00,,358.375,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:50.491000+00:00,,358.375,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:51.544000+00:00,,358.375,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:52.595000+00:00,,358.375,-3.1875,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:53.627000+00:00,,358.375,-3.1875,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:54.678000+00:00,,358.3125,-3.1875,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:55.725000+00:00,,358.375,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:56.775000+00:00,,358.3125,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:57.824000+00:00,,358.25,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:58.870000+00:00,,358.25,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:59.921000+00:00,,358.375,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:00.970000+00:00,,358.25,-3.1875,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:02.024000+00:00,,358.3125,-3.1875,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:03.078000+00:00,,358.25,-3.125,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:04.122000+00:00,,358.1875,-3.125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:05.171000+00:00,,358.1875,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:06.205000+00:00,,358.125,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:07.242000+00:00,,358.1875,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:08.285000+00:00,,358.125,-3.125,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:09.331000+00:00,,358.0625,-3.0625,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:10.376000+00:00,,358.125,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:11.420000+00:00,,358.0625,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:12.467000+00:00,,358.0,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:13.519000+00:00,,358.0625,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:14.569000+00:00,,358.0,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:15.618000+00:00,,358.0,-3.1875,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:16.661000+00:00,,357.9375,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:17.709000+00:00,,358.0,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:18.754000+00:00,,357.9375,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:19.788000+00:00,,357.9375,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:20.833000+00:00,,357.8125,-3.1875,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:21.875000+00:00,,357.875,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:22.908000+00:00,,357.875,-3.25,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:23.938000+00:00,,357.875,-3.25,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:24.974000+00:00,,357.875,-3.0625,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:26.009000+00:00,,357.8125,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:27.043000+00:00,,357.75,-3.1875,-0.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:28.079000+00:00,,357.8125,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:29.130000+00:00,,357.9375,-3.1875,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:30.182000+00:00,,357.8125,-3.1875,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:31.233000+00:00,,357.8125,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:32.278000+00:00,,357.8125,-3.125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:33.330000+00:00,,357.8125,-3.1875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:34.843000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:35.885000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:36.919000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:37.953000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:39+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:40.050000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:41.084000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:42.128000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:43.171000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:44.219000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:45.269000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:46.313000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:47.363000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:48.410000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:49.459000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:50.512000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:51.564000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:52.599000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:53.647000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:54.696000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:55.746000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:56.796000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:57.840000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:58.889000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:59.940000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:00.993000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:02.046000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:03.093000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:04.141000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:05.175000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:06.209000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:07.256000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:08.303000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:09.347000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:10.392000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:11.436000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:12.488000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:13.538000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:14.586000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:15.632000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:16.678000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:17.725000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:18.759000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:19.804000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:20.844000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:21.879000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:22.912000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:23.943000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:24.978000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:26.013000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:27.048000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:28.100000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:29.150000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:30.203000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:31.248000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:32.299000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:33.345000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:34.847000+00:00,,,,,,-13.0625,-19.5,-42.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:35.889000+00:00,,,,,,-11.5625,-19.875,-42.6875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:36.924000+00:00,,,,,,-12.375,-19.875,-43.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:37.957000+00:00,,,,,,-12.75,-19.875,-43.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:39.005000+00:00,,,,,,-13.375,-20.1875,-43.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:40.056000+00:00,,,,,,-12.375,-19.875,-44.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:41.089000+00:00,,,,,,-11.6875,-19.875,-42.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:42.132000+00:00,,,,,,-12.75,-19.5,-43.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:43.177000+00:00,,,,,,-13.875,-19.5,-42.6875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:44.223000+00:00,,,,,,-12.75,-19.875,-43.5,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:45.273000+00:00,,,,,,-12.75,-19.0625,-42.25,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:46.319000+00:00,,,,,,-12.75,-19.5,-43.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:47.369000+00:00,,,,,,-12.75,-19.5,-43.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:48.414000+00:00,,,,,,-12.0,-20.1875,-43.5,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:49.464000+00:00,,,,,,-12.375,-19.5,-41.875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:50.517000+00:00,,,,,,-12.0,-19.0625,-43.5,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:51.569000+00:00,,,,,,-12.375,-19.875,-43.5,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:52.603000+00:00,,,,,,-12.75,-20.1875,-44.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:53.652000+00:00,,,,,,-13.5,-19.0625,-43.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:54.701000+00:00,,,,,,-12.375,-20.1875,-41.5,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:55.750000+00:00,,,,,,-12.0,-18.25,-42.6875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:56.800000+00:00,,,,,,-12.375,-19.5,-43.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:57.846000+00:00,,,,,,-12.0,-19.5,-43.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:58.894000+00:00,,,,,,-12.375,-20.5625,-42.375,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:27:59.946000+00:00,,,,,,-11.6875,-19.875,-43.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:00.999000+00:00,,,,,,-13.1875,-19.75,-43.5,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:02.051000+00:00,,,,,,-12.75,-19.375,-42.0,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:03.098000+00:00,,,,,,-12.375,-19.0,-43.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:04.146000+00:00,,,,,,-13.5,-18.5625,-43.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:05.180000+00:00,,,,,,-12.75,-19.375,-43.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:06.214000+00:00,,,,,,-12.75,-19.75,-43.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:07.260000+00:00,,,,,,-12.5,-20.5625,-43.5,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:08.307000+00:00,,,,,,-13.25,-19.0,-43.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:09.352000+00:00,,,,,,-12.5,-20.0625,-43.5,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:10.397000+00:00,,,,,,-12.0625,-19.75,-43.875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:11.440000+00:00,,,,,,-12.5,-19.75,-43.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:12.494000+00:00,,,,,,-12.875,-19.375,-42.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:13.544000+00:00,,,,,,-12.0,-19.75,-43.375,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:14.590000+00:00,,,,,,-13.25,-19.375,-43.5,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:28:15.637000+00:00,,,,,,-13.25,-19.75,-44.1875,,,,,,,,,,,,,,,,,,,,,
