,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:19:54.283604+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:04.302423+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:14.320650+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:24.336734+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:34.341208+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:44.356205+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:19:53.950000+00:00,,6.125,-3.4375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:19:55.001000+00:00,,6.125,-3.4375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:19:56.052000+00:00,,6.125,-3.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:19:57.102000+00:00,,6.0625,-3.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:19:58.147000+00:00,,6.0625,-3.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:19:59.193000+00:00,,6.0625,-3.4375,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:00.242000+00:00,,6.0,-3.5,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:01.287000+00:00,,5.9375,-3.4375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:02.332000+00:00,,6.0,-3.5,-0.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:03.384000+00:00,,6.0,-3.5,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:04.430000+00:00,,6.0,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:05.481000+00:00,,6.0,-3.4375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:06.533000+00:00,,6.0,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:07.583000+00:00,,5.9375,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:08.634000+00:00,,5.9375,-3.3125,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:20:09.685000+00:00,,5.875,-3.375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
