,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:11:23.571225+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:33.590385+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:43.593945+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:53.612176+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:12:03.629730+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:12:13.644713+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:21.011000+00:00,,1.75,-3.9375,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:22.061000+00:00,,1.875,-4.0,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:23.108000+00:00,,2.0,-4.0625,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:24.155000+00:00,,2.125,-4.0,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:25.202000+00:00,,2.1875,-4.0,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:26.253000+00:00,,2.3125,-4.0,-0.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:27.302000+00:00,,2.4375,-3.875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:28.344000+00:00,,2.5625,-3.875,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:29.375000+00:00,,2.5625,-4.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:30.409000+00:00,,2.6875,-4.0,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:31.442000+00:00,,2.8125,-4.0625,-0.3125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:32.481000+00:00,,2.875,-4.0,-0.3125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:33.516000+00:00,,3.0,-4.0,-0.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:34.564000+00:00,,3.125,-3.9375,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:35.607000+00:00,,3.25,-4.1875,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:36.651000+00:00,,3.3125,-4.0625,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:37.696000+00:00,,3.4375,-4.0625,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:38.743000+00:00,,3.5625,-4.0625,-0.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:39.786000+00:00,,3.625,-4.0,-0.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:40.820000+00:00,,3.6875,-3.9375,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:41.868000+00:00,,3.8125,-4.0,-0.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:42.915000+00:00,,3.9375,-4.0,-0.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:43.961000+00:00,,4.0,-4.0625,-0.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:45.010000+00:00,,4.0625,-4.0625,-0.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:11:46.060000+00:00,,4.1875,-4.0625,-0.3125,,,,,,,,,,,,,,,,,,,,,,,,,
