,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:50:07.468389+00:00,47.913154847999465,28,-2.1875,-0.625,23,-15.1875,-12.1875,-41,0.002222222,0.022222222,0.037777778,-0.21,0.24,9.58,0.51,-0.22,-0.27,-0.41,0.11,9.79,1.52125,0,0,4.5,300,65.78,1020.18,-43.03
2025-04-10 19:50:08.702612+00:00,48.61336017138232,28.125,-2.5,-0.625,23,-14.5,-21.1875,-46.75,0.013333333,-0.03,-0.018888889,0.09,-0.11,9.51,0.51,-0.22,-0.27,-0.41,0.11,9.79,1.52125,0,0,4.5,300,65.78,1020.18,-43.03
2025-04-10 19:50:09.933362+00:00,48.74963461,28,-2.4375,-0.75,23,-28.375,-23,-72,-0.02,0.022222222,0.021111111,-1.07,0.33,9.27,-0.54,0.19,-0.35,-0.42,0.12,9.79,1.6425,-1.25,0,4.5,300,65.78,1020.18,-43.03
2025-04-10 19:50:11.134412+00:00,49.95590962,28.125,-2.3125,-0.6875,23,-31.1875,5,-81.5625,-0.016666667,-0.022222222,-0.083333333,0.23,-0.24,9.47,0.63,-0.36,-0.32,-0.39,0.11,9.79,1.53875,2.5,0,4.7,300,65.78,1020.18,-43.03
2025-04-10 19:50:12.314999+00:00,50.82456496081598,28.125,-2.5625,-0.5625,23,-18,21.25,-65.375,0.014444444,-0.008888889,-0.057777778,-0.64,-0.54,9.35,-0.07,-0.89,-0.38,-0.43,0.1,9.79,1.60375,-1.25,0,4.7,300,65.78,1020.18,-43.03
2025-04-10 19:50:13.520509+00:00,49.77153900861268,28.1875,-2.5625,-0.75,23,-8.375,12.6875,-48.375,-0.011111111,0.042222222,-0.01,0.59,0.44,9.48,1.04,0.3,-0.3,-0.44,0.13,9.79,1.61375,0,0,4.7,300,65.78,1020.18,-43.03
2025-04-10 19:50:14.720908+00:00,49.98293704143671,28.1875,-3.1875,-0.4375,23,-8.0625,2.375,-41.5625,0.031111111,-0.025555556,0.045555556,-1.09,-0.24,9.39,-0.3,0.08,-0.36,-0.54,0.07,9.79,1.555,-1.25,0,4.7,300,65.78,1020.18,-43.03
2025-04-10 19:50:15.922407+00:00,49.93620320680531,28.25,-3.0625,-0.4375,23,-10.0625,-6.1875,-42.0625,0.008888889,0.082222222,-0.005555556,-0.7,0.17,9.46,-0.17,0.07,-0.32,-0.53,0.1,9.79,1.65625,1.25,0,4.7,300,65.78,1020.18,-43.03
2025-04-10 19:50:17.098846+00:00,51.000592167100564,28.625,-2.9375,-0.375,23,-15.875,-19.5,-55.0625,0.012222222,-0.023333333,-0.032222222,-0.25,-0.22,9.41,0.24,-0.28,-0.37,-0.5,0.06,9.79,1.67625,-1.25,0,4.7,300,65.78,1020.18,-43.03
2025-04-10 19:50:18.318043+00:00,49.21511453946604,28.4375,-2.625,-0.5625,23,-31,-13.1875,-78.5,-0.01,0.066666667,-0.058888889,-0.6,0.24,9.37,-0.13,0.15,-0.42,-0.48,0.09,9.79,1.57625,-1.25,0,4.7,300,65.78,1020.18,-43.03
