,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 19:37:15.705508+00:00,30.466372654308365,356.1875,-2.375,-0.8125,23,-13.75,4,-47.5,-0.008888889,0.008888889,0.004444444,-0.62,0.26,9.44,-0.34,0.3,-0.45,-0.41,0.14,9.79,1.09,0,0,2.5,315,65.93,1020.3,-43.86,1,0,0
2025-04-10 19:37:17.582496+00:00,31.96692874498124,356.375,-2.4375,-0.875,23,-20.0625,9.25,-59,0.012222222,0.005555556,0.021111111,-0.44,0.16,9.42,-0.01,0.23,-0.32,-0.42,0.15,9.79,1.16625,-1.25,0,2.4,315,65.93,1020.3,-43.86,1,0,0
2025-04-10 19:37:19.485412+00:00,31.530082961558243,356.375,-2.25,-0.875,23,-32,1.0625,-77.0625,-0.011111111,-0.005555556,-0.021111111,-0.29,-0.05,9.45,0.1,-0.2,-0.34,-0.39,0.14,9.79,1.16,1.25,0,2.4,315,65.93,1020.3,-43.86,1,0,0
2025-04-10 19:37:21.474371+00:00,30.16643197994996,356.5625,-2.3125,-0.875,23,-35.875,-12.75,-81.25,-0.014444444,0.005555556,0.018888889,-0.38,0.32,9.37,-0.19,0.19,-0.31,-0.4,0.15,9.79,1.1175,1.25,0,2.4,315,65.93,1020.3,-43.86,1,0,0
2025-04-10 19:37:23.448204+00:00,30.397949458797726,356.6875,-2.125,-0.75,23,-35.0625,-19.5,-79.375,0,0.013333333,0.007777778,-0.36,0.26,9.43,0,0.12,-0.36,-0.37,0.13,9.79,1.18375,0,0,2.5,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:25.426120+00:00,30.334640458588332,356.75,-2.375,-0.8125,23,-32.1875,-28.25,-73.5625,-0.006666667,-0.007777778,-0.005555556,-0.72,0.08,9.42,-0.28,-0.2,-0.37,-0.41,0.14,9.79,1.07,-1.25,0,2.6,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:27.449281+00:00,29.65652120421921,356.8125,-2.3125,-0.8125,23,-30.5,-32.75,-67.5625,0.01,-0.003333333,0.007777778,-0.27,0.3,9.44,0.13,-0.1,-0.38,-0.4,0.14,9.79,1.0975,0,0,2.6,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:29.495301+00:00,29.325636164264797,356.9375,-2.3125,-0.8125,23,-26.5625,-33.5,-64.25,0.008888889,-0.011111111,-0.006666667,-0.18,0.14,9.39,0.21,0,-0.4,-0.39,0.14,9.79,1.1225,-1.25,0,2.6,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:31.516014+00:00,29.69252342789047,357,-2.1875,-0.8125,23,-12.5625,-4.6875,-43,-0.007777778,0.012222222,-0.015555556,-0.7,0.4,9.46,-0.32,0.25,-0.33,-0.38,0.14,9.79,1.265,0,0,2.5,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:33.533839+00:00,29.736822670474208,357.0625,-2.25,-0.875,23,-13.1875,-2.875,-44.25,-0.015555556,0.011111111,-0.031111111,-0.29,0,9.42,0.09,-0.14,-0.37,-0.39,0.15,9.79,1.1225,0,0,2.5,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:35.575774+00:00,29.382030834885867,357.1875,-2.3125,-0.875,23,-15,1.1875,-48.0625,-0.02,-0.002222222,-0.008888889,-0.38,0.18,9.46,0.11,-0.25,-0.33,-0.39,0.14,9.79,1.15375,-1.25,0,2.5,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:37.691680+00:00,28.356870887670016,357.3125,-2.375,-0.9375,23,-14.1875,1.1875,-46.375,-0.001111111,0.002222222,-0.023333333,-0.34,-0.11,9.41,-0.06,-0.34,-0.33,-0.4,0.16,9.79,1.03,-1.25,0,2.7,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:39.659645+00:00,30.488297129590226,357.375,-2.375,-0.9375,23,-16.75,5.375,-50.1875,0.017777778,-0.01,0.023333333,-0.46,0.35,9.42,-0.05,0.19,-0.37,-0.4,0.16,9.79,1.16625,0,0,2.7,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:41.582944+00:00,31.196044324823927,357.375,-2.3125,-0.875,23,-19.6875,10.375,-58.5,-0.001111111,0.002222222,0.026666667,-0.21,-0.07,9.46,-0.06,-0.22,-0.39,-0.4,0.15,9.79,1.27375,1.25,0,2.7,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:43.551875+00:00,30.473455903695164,357.4375,-2.25,-0.875,23,-22.5,6.75,-67.75,-0.008888889,0.022222222,-0.016666667,-0.64,0.16,9.44,-0.23,0,-0.35,-0.4,0.15,9.79,1.20125,0,0,2.8,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:45.484039+00:00,31.05314275525458,357.5625,-2.3125,-0.8125,23,-31.75,-6.0625,-79.0625,0.018888889,0.001111111,-0.06,-0.06,0.22,9.41,0.33,0.07,-0.38,-0.4,0.15,9.79,1.175,0,0,2.8,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:47.391186+00:00,31.460964865509876,357.6875,-2.3125,-0.8125,23,-29.5,-28.1875,-71.25,-0.005555556,-0.005555556,0.033333333,-0.49,0.16,9.42,0.15,0.05,-0.48,-0.4,0.14,9.79,1.12875,0,0,2.7,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:49.255668+00:00,32.180126082119614,357.75,-2.3125,-0.8125,23,-18.5,-32.6875,-51.875,0.017777778,0.017777778,-0.048888889,-0.52,0.13,9.49,0,-0.13,-0.36,-0.41,0.14,9.79,1.12125,0,0,2.6,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:51.136091+00:00,31.907697028173963,357.8125,-2.3125,-0.875,23,-10.375,4.5625,-43.875,-0.012222222,-0.001111111,0.008888889,-0.38,0.06,9.4,0.01,-0.08,-0.39,-0.4,0.14,9.79,1.06875,-1.25,0,2.6,315,65.89,1020.27,-43.72,1,0,0
2025-04-10 19:37:53.056216+00:00,31.247903423113428,357.875,-2.375,-0.8125,23,-17.25,11.6875,-57.375,-0.005555556,0.003333333,-0.001111111,-0.11,0.11,9.39,0.29,-0.03,-0.4,-0.4,0.14,9.79,1.19875,0,0,2.5,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:37:54.940875+00:00,31.837624197775703,358,-2.375,-0.8125,23,-29.375,1.25,-75.5625,0.013333333,0.006666667,0.005555556,-0.35,0.19,9.43,0.05,0.04,-0.35,-0.4,0.14,9.79,1.05625,0,0,2.6,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:37:56.817059+00:00,31.979155838924367,358.25,-2.3125,-0.9375,23,-30.5,-21,-78.1875,-0.001111111,-0.004444444,0.058888889,-0.22,0.1,9.46,0.17,-0.05,-0.33,-0.39,0.16,9.79,1.14375,-1.25,0,2.6,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:37:58.728484+00:00,31.38928688095499,358.3125,-2.25,-0.8125,23,-23.6875,-30.6875,-60.875,-0.013333333,0,0.041111111,-0.37,0.12,9.41,-0.05,0.14,-0.45,-0.38,0.14,9.79,1.12,0,0,2.7,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:38:00.676561+00:00,30.799864590286482,358.3125,-2.3125,-0.875,23,-9.0625,-0.0625,-40.375,-0.005555556,0.01,-0.022222222,-0.37,0.05,9.49,0.28,-0.12,-0.3,-0.4,0.15,9.79,1.06125,0,0,2.7,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:38:02.538671+00:00,32.221035338782244,358.4375,-2.25,-0.9375,23,-14.1875,10.1875,-51.0625,0.007777778,0.001111111,0.013333333,-0.3,0.08,9.5,-0.02,0.18,-0.35,-0.38,0.16,9.79,1.08625,1.25,0,2.6,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:38:04.413341+00:00,32.00662979125086,358.4375,-2.25,-0.8125,23,-26.5,8,-73.1875,-0.001111111,0.01,0,-0.64,0.08,9.41,-0.24,-0.05,-0.37,-0.39,0.14,9.79,1.13125,-1.25,0,2.6,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:38:06.284746+00:00,32.06055137246898,358.5625,-2.375,-0.8125,23,-32.0625,-18.5,-77.375,0.028888889,0.003333333,0.026666667,-0.33,0.48,9.41,0.08,0.32,-0.38,-0.41,0.15,9.79,1.22625,-1.25,0,2.6,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:38:08.084539+00:00,33.33976392802026,358.6875,-2.4375,-0.875,23,-16.375,-29.0625,-50,-0.015555556,-0.002222222,0.006666667,-0.39,0.22,9.34,-0.08,-0.06,-0.37,-0.43,0.15,9.79,1.2,0,0,2.5,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:38:09.872243+00:00,33.56033861959705,358.6875,-2.375,-0.8125,23,-14.25,10.5,-52.875,0.001111111,0,0.012222222,-0.35,0.16,9.44,0.12,-0.21,-0.41,-0.41,0.14,9.79,1.18,0,0,2.5,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:38:11.643326+00:00,33.87984109777592,358.75,-2.25,-0.875,23,-31.875,-4.6875,-80.75,-0.013333333,0.004444444,-0.004444444,-0.35,-0.08,9.44,-0.27,-0.36,-0.35,-0.39,0.15,9.79,1.04125,0,0,2.6,315,66,1020.21,-43.1,1,0,0
2025-04-10 19:38:13.400957+00:00,34.13584740738148,358.875,-2.3125,-0.75,23,-23.375,-30.875,-59.6875,-0.017777778,-0.006666667,-0.004444444,-0.33,-0.06,9.37,0.07,-0.19,-0.42,-0.4,0.13,9.79,1.09125,-1.25,0,2.6,315,66,1020.21,-43.1,1,0,0
