,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 19:52:25.807185+00:00,30.917487717258417,33.5,-2.25,-0.6875,23,-30.5,11.0625,-78.6875,0.021111111,-0.024444444,-0.046666667,-0.65,0.37,9.4,-0.14,-0.17,-0.4,-0.38,0.12,9.79,1.095,0,0,4,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:27.904592+00:00,28.60673669148261,33.625,-2.375,-0.75,23,-31.375,11.5625,-79.75,0,-0.006666667,-0.051111111,-0.79,0.18,9.39,-0.38,0.05,-0.39,-0.4,0.12,9.79,1.02,-1.25,0,4,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:30.023633+00:00,28.31470519635743,33.6875,-2.375,-0.75,23,-27.0625,17.0625,-74.6875,0.017777778,0.016666667,0.002222222,-1.01,0.58,9.35,-0.42,0.42,-0.24,-0.41,0.14,9.79,1.08625,-1.25,0,4.1,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:32.096370+00:00,28.947492589673036,33.75,-2.3125,-0.75,23,-28.6875,16.6875,-76.5625,0.011111111,0,-0.035555556,0.23,0.08,9.43,0.12,-0.29,-0.33,-0.38,0.12,9.79,1.06625,0,0,4.1,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:34.166318+00:00,28.988296092300597,34.125,-2.125,-0.8125,23,-28.6875,14.25,-81,0.024444444,-0.015555556,0.035555556,-0.51,-0.07,9.4,-0.14,-0.22,-0.39,-0.36,0.15,9.79,1.05625,-1.25,0,4.1,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:36.317223+00:00,27.892914223645857,34.0625,-2.1875,-0.75,23,-26.375,17.5,-78,0.014444444,-0.008888889,-0.005555556,-0.71,-0.24,9.39,0.35,0.17,-0.3,-0.38,0.13,9.79,0.97875,-1.25,0,4,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:38.551553+00:00,26.85392052268087,33.9375,-2.25,-0.625,23,-19,20.75,-66.875,-0.011111111,0.021111111,0.013333333,-0.64,0.05,9.4,-0.24,-0.05,-0.39,-0.39,0.1,9.79,1.0375,0,0,4.1,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:40.744719+00:00,27.35745131044043,34,-2.4375,-0.5625,23,-13.75,19.1875,-59.1875,0.001111111,-0.007777778,0.023333333,-0.14,-0.01,9.43,-0.24,0.24,-0.41,-0.41,0.09,9.79,1.085,-1.25,0,4.1,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:42.947919+00:00,27.23341186197284,34.125,-2.3125,-0.6875,23,-10.1875,13.1875,-50.75,-0.004444444,0.006666667,0.005555556,-0.35,-0.13,9.43,0.03,-0.26,-0.36,-0.39,0.12,9.79,0.96375,0,0,4.1,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:45.095580+00:00,27.937342472517617,34.3125,-2.1875,-0.75,23,-9.5,11.375,-50.5625,0,0,0.095555556,-1.34,0.65,9.44,-0.95,0.51,-0.35,-0.38,0.13,9.79,1.09,-2.5,0,3.9,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:47.243834+00:00,27.929426819029565,34.375,-2.1875,-0.6875,23,-8.5625,9.75,-48.5,0.013333333,0.02,0.004444444,-0.28,0.14,9.42,0.09,0.02,-0.37,-0.38,0.12,9.79,1.09625,0,0,4,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:49.403265+00:00,27.78541332,34.5,-2.3125,-0.8125,23,-20.1875,-42.375,-57.875,-0.008888889,0.008888889,0.055555556,-0.72,0.29,9.42,-0.09,-0.31,-0.32,-0.4,0.14,9.79,0.96125,0,0,4,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:51.600684+00:00,27.30439130072494,34.5625,-2.1875,-0.8125,23,-24.0625,-36.5,-67.5625,0.003333333,-0.003333333,0.033333333,-0.46,-0.02,9.44,0.29,-0.16,-0.3,-0.37,0.14,9.79,1.03,-1.25,0,4.1,300,65.81,1020.12,-42.44,0,1,0
2025-04-10 19:52:53.751635+00:00,27.894843485844536,34.5625,-2.1875,-0.8125,23,-25.5625,-35.0625,-69.75,-0.023333333,0.01,-0.031111111,-0.37,-0.23,9.53,0.01,-0.36,-0.25,-0.38,0.13,9.79,1.03375,0,0,4,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:52:55.784571+00:00,29.51660734216375,34.6875,-2.125,-0.8125,23,-22.375,-38.75,-64.25,0.007777778,0.01,0.012222222,-0.53,0,9.41,-0.16,-0.13,-0.38,-0.37,0.14,9.79,1.14125,-1.25,0,4.1,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:52:57.813216+00:00,29.575964019693785,34.6875,-2.375,-0.875,23,-19.1875,-39.5625,-56.5625,-0.016666667,0.014444444,-0.036666667,-0.8,0.22,9.4,-0.39,0.07,-0.39,-0.41,0.14,9.79,1.13625,1.25,0,3.9,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:52:59.854671+00:00,29.38855015666568,34.75,-2.3125,-0.75,23,-20.75,-38.1875,-59.0625,0.004444444,-0.007777778,-0.033333333,-0.74,0.55,9.41,-0.34,0.41,-0.37,-0.38,0.12,9.79,1.03125,0,0,3.9,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:01.962452+00:00,28.46616884268593,34.9375,-2.1875,-0.8125,23,-18.5625,-38.75,-59,-0.011111111,0.026666667,0.002222222,-0.52,0.09,9.39,-0.35,0.01,-0.41,-0.39,0.13,9.79,1.12625,-1.25,0,4,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:04.008387+00:00,29.32662038110656,35.0625,-2.1875,-0.6875,23,-7.0625,-9.0625,-36.25,-0.012222222,-0.025555556,0.021111111,0.35,-0.28,9.47,0.08,-0.25,-0.32,-0.36,0.12,9.79,1.02375,0,0,4,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:05.946360+00:00,30.95947867,35.125,-2,-0.625,23,-7,-2.1875,-41.5625,0.014444444,-0.006666667,-0.023333333,0.17,0,9.42,0.5,-0.11,-0.37,-0.33,0.12,9.8,1.0525,-1.25,0,3.9,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:07.771730+00:00,32.86979793540281,35.1875,-2.25,-0.6875,23,-18,6.25,-61.5625,-0.005555556,-0.003333333,-0.03,-0.5,-0.07,9.38,0.17,-0.25,-0.38,-0.39,0.11,9.79,1.085,-1.25,0,4.1,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:09.554489+00:00,33.655983320338564,35.3125,-2.0625,-0.625,23,-29.6875,-18.0625,-78,0.012222222,0.025555556,0.015555556,-0.45,0.22,9.46,-0.09,0.11,-0.33,-0.36,0.11,9.79,1.22375,0,0,4.1,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:11.380977+00:00,32.84991948672001,35.3125,-2.25,-0.625,23,-17.1875,-35.5625,-56.75,0,0.008888889,-0.02,-0.44,0.31,9.46,-0.24,-0.1,-0.44,-0.38,0.11,9.79,1.21,-1.25,0,4.2,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:13.347228+00:00,30.51569533370697,35.5625,-2.125,-0.5625,23,-8.1875,-6.1875,-38,-0.008888889,0,0.033333333,-0.26,0.21,9.39,0.1,0.1,-0.4,-0.36,0.1,9.79,1.04875,1.25,0,4.2,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:15.295672+00:00,30.79287747907279,35.5625,-2.25,-0.6875,23,-8.25,1.1875,-42.375,0.013333333,0.002222222,-0.006666667,-0.06,-0.01,9.4,0.32,-0.13,-0.38,-0.38,0.12,9.79,1.1175,1.25,0,4.2,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:17.286168+00:00,30.14338630961329,35.5625,-2.25,-0.6875,23,-9,6.875,-46.25,0.005555556,0.015555556,-0.001111111,-0.42,0.2,9.35,-0.02,0.37,-0.39,-0.39,0.12,9.79,1.0525,-1.25,0,4.1,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:19.370229+00:00,28.790492275557348,35.75,-2.4375,-0.625,23,-10.6875,7.5625,-47.5,0.018888889,0.017777778,0.048888889,0,0.15,9.5,0.42,0.03,-0.28,-0.42,0.12,9.79,1.14375,0,0,4.2,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:21.445604+00:00,28.910725706106852,35.6875,-2.4375,-0.5625,23,-12.75,8.25,-49.6875,0.006666667,-0.012222222,0.002222222,-0.5,0,9.36,0.32,-0.36,-0.34,-0.41,0.1,9.79,1.1975,1.25,0,4.2,300,65.79,1020.13,-42.44,0,1,0
2025-04-10 19:53:23.524093+00:00,28.86660006861687,35.8125,-2.25,-0.6875,23,-15.1875,7.875,-51.25,0.004444444,0.011111111,0.051111111,-0.46,0.37,9.38,-0.17,0.19,-0.35,-0.39,0.11,9.79,1.145,-1.25,0,4.2,300,65.76,1020,-41.5,0,1,0
