,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:33:17.875038+00:00,57.16364052663786,355.6875,-1.6875,-0.3125,23,-16.25,-32.5625,-43.25,-0.027777778,,,-0.07,0.21,9.32,0.2,0.16,-0.47,-0.28,0.05,9.8,1.89,1.25,0,2.5,1,65.7,1020.34,-44.16
2025-04-10 19:33:18.944689+00:00,56.08656727794157,355.625,-1.625,-0.1875,23,-20.6875,-35.5625,-52.5,0.031111111,0.007777778,-0.076666667,-0.07,0.21,9.32,0.2,0.16,-0.47,-0.28,0.05,9.8,1.89,1.25,0,2.5,1,65.7,1020.34,-44.16
2025-04-10 19:33:20.012829+00:00,56.16748320554617,355.6875,-1.625,-0.25,23,-21.0625,-35,-55.375,0.001111111,-0.014444444,-0.041111111,-0.31,0.01,9.4,0.41,0.24,-0.29,-0.28,0.05,9.8,1.79625,-1.25,0,2.5,1,65.7,1020.34,-44.16
2025-04-10 19:33:21.082568+00:00,56.08506732996351,355.6875,-1.5625,-0.375,23,-21.25,-34.6875,-58,0.007777778,0.034444444,0.033333333,-0.43,0.56,9.39,-0.36,0.29,-0.37,-0.27,0.07,9.8,1.865,2.5,0,2.5,1,65.7,1020.34,-44.16
2025-04-10 19:33:22.139319+00:00,56.779954365437945,355.625,-1.5,-0.375,23,-27.1875,-29.375,-67.75,0.003333333,0.024444444,0.024444444,-0.1,-0.09,9.42,0.16,-0.16,-0.37,-0.26,0.06,9.8,1.76875,0,0,2.5,1,65.7,1020.34,-44.16
2025-04-10 19:33:23.189323+00:00,57.14357338070884,355.6875,-1.625,-0.4375,23,-26.875,-30.0625,-68.875,0.025555556,0.011111111,0.008888889,0.04,0.15,9.41,0.33,0.07,-0.38,-0.28,0.08,9.8,1.83875,0,0,2.5,1,65.7,1020.34,-44.16
2025-04-10 19:33:24.264553+00:00,55.80117913687394,355.75,-1.9375,-0.5625,23,-29.5,-26.875,-72.5,0.017777778,-0.013333333,-0.013333333,-0.47,0.16,9.51,0.27,-0.22,-0.26,-0.33,0.1,9.8,1.80625,0,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:25.326864+00:00,56.47918092720226,355.6875,-1.875,-0.4375,23,-30.75,-24.5,-74.25,0,-0.016666667,-0.033333333,0.07,0.1,9.54,0.37,0.07,-0.4,-0.31,0.08,9.8,1.7875,-1.25,0,2.7,1,65.76,1020.36,-44.33
2025-04-10 19:33:26.412902+00:00,55.24754105450524,355.6875,-1.9375,-0.625,23,-31,-15.5625,-76.25,-0.011111111,-0.015555556,0.006666667,-0.2,0.03,9.51,0.13,-0.07,-0.28,-0.33,0.1,9.8,1.7025,1.25,0,2.7,1,65.76,1020.36,-44.33
2025-04-10 19:33:27.466102+00:00,56.96834642140029,355.625,-2,-0.5625,23,-31.5,-15.5625,-78.1875,-0.011111111,-0.018888889,0.036666667,-0.05,0.25,9.47,0.03,0.41,-0.34,-0.34,0.1,9.79,1.8125,-1.25,0,2.7,1,65.76,1020.36,-44.33
2025-04-10 19:33:28.524467+00:00,56.69122417496864,355.625,-2.0625,-0.5625,23,-29.5,-2.375,-76.5625,-0.002222222,-0.021111111,-0.024444444,-0.56,0.17,9.39,-0.31,0.01,-0.36,-0.34,0.1,9.8,1.8,0,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:29.614633+00:00,55.037798017785605,355.5625,-1.875,-0.5625,23,-27.6875,6.875,-73.25,-0.004444444,-0.004444444,-0.047777778,-0.3,-0.05,9.42,0.02,-0.15,-0.37,-0.33,0.09,9.8,1.72875,-1.25,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:30.709133+00:00,54.817698185139434,355.5,-1.9375,-0.625,23,-24,11.5625,-67.875,-0.003333333,-0.003333333,-0.027777778,-0.07,-0.07,9.39,-0.02,-0.02,-0.39,-0.33,0.11,9.8,1.7675,-1.25,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:31.780886+00:00,55.98348291063647,355.5,-1.875,-0.6875,23,-19.875,13,-62.5625,-0.014444444,0.02,-0.027777778,-0.39,0.15,9.44,-0.05,0.03,-0.35,-0.33,0.12,9.8,1.705,0,0,2.3,1,65.76,1020.36,-44.33
2025-04-10 19:33:32.833249+00:00,57.01552044641249,355.5,-1.8125,-0.5625,23,-21.1875,14.0625,-62.25,-0.022222222,-0.002222222,-0.002222222,0.09,0.02,9.39,0.4,-0.06,-0.4,-0.31,0.09,9.8,1.7875,1.25,0,2.3,1,65.76,1020.36,-44.33
2025-04-10 19:33:33.903535+00:00,56.05786969695215,355.4375,-2,-0.5625,23,-19.25,13.6875,-59.75,-0.005555556,-0.004444444,-0.002222222,-0.54,0.15,9.43,-0.44,-0.32,-0.39,-0.35,0.09,9.79,1.75,0,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:34.957104+00:00,56.95127719212806,355.4375,-1.8125,-0.4375,23,-19.1875,14.6875,-57,-0.016666667,0,0.013333333,-0.49,0.08,9.41,-0.28,-0.18,-0.32,-0.31,0.07,9.8,1.8375,0,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:36.015048+00:00,56.71285350849854,355.5,-1.75,-0.5,23,-17.75,15.1875,-55,0,0.012222222,0.035555556,-0.73,0.73,9.42,-0.42,0.64,-0.37,-0.3,0.08,9.8,1.84125,2.5,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:37.059586+00:00,57.443209209238454,355.375,-1.5,-0.375,23,-19.375,16.0625,-57.25,0.017777778,0.048888889,-0.002222222,-0.63,0.51,9.5,-0.36,0.44,-0.3,-0.27,0.07,9.8,1.81125,1.25,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:38.108129+00:00,57.22181875,355.375,-1.4375,-0.3125,23,-19.875,15.0625,-55.875,0.01,0.018888889,-0.011111111,-0.42,0.3,9.4,0.06,0.45,-0.42,-0.25,0.06,9.8,1.80875,0,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:39.172210+00:00,56.38774858587115,355.4375,-1.4375,-0.25,23,-18.5,15.5625,-54.6875,-0.001111111,0.016666667,0.002222222,-0.44,0.3,9.43,-0.18,0.25,-0.36,-0.25,0.05,9.8,1.76,0,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:40.245051+00:00,55.92596724421236,355.4375,-1.5625,-0.3125,23,-13.6875,11.75,-44.25,0,0.008888889,0.043333333,-0.85,0.08,9.44,-0.58,0.02,-0.35,-0.27,0.05,9.8,1.795,1.25,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:41.288199+00:00,57.51818911745326,355.4375,-1.75,-0.375,23,-13.5625,1.5625,-50.6875,-0.016666667,0.008888889,0.002222222,-0.16,0.29,9.46,0.3,0.2,-0.4,-0.29,0.07,9.8,1.76125,2.5,0,2.3,1,65.76,1020.36,-44.33
2025-04-10 19:33:42.347685+00:00,56.63213116170717,355.375,-1.625,-0.375,23,-10.75,1.875,-49.875,0.008888889,-0.006666667,0.01,-0.21,0.06,9.37,0,0.18,-0.33,-0.28,0.07,9.8,1.715,2.5,0,2.3,1,65.76,1020.36,-44.33
2025-04-10 19:33:43.401722+00:00,56.92271815005075,355.375,-1.6875,-0.375,23,-9.0625,-3.875,-44.5625,0.01,-0.003333333,0.02,-0.22,0.16,9.5,0,0.4,-0.38,-0.29,0.07,9.8,1.71375,1.25,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:44.443314+00:00,57.60434651937162,355.375,-1.625,-0.375,23,-10.1875,-1.375,-45.0625,0.016666667,-0.007777778,0.013333333,-0.3,0.27,9.48,-0.02,0.19,-0.32,-0.28,0.07,9.8,1.82375,1.25,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:45.511775+00:00,56.15783215,355.3125,-1.75,-0.3125,23,-8.1875,-1.1875,-44.0625,0.024444444,-0.006666667,-0.014444444,-0.02,0.11,9.44,0.28,0.05,-0.35,-0.3,0.06,9.8,1.80625,0,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:46.613284+00:00,54.471244713226355,355.375,-1.9375,-0.375,23,-9.1875,-6.875,-41.25,-0.012222222,-0.02,0.064444444,-0.5,0.54,9.44,-0.15,0.4,-0.36,-0.32,0.06,9.8,1.76375,-1.25,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:47.701096+00:00,55.157631909327456,355.375,-2,-0.375,23,-9.6875,-8.875,-39.6875,-0.005555556,-0.028888889,0.023333333,-0.38,0.58,9.53,-0.27,0.35,-0.38,-0.33,0.06,9.8,1.7875,1.25,0,2.5,1,65.76,1020.36,-44.33
2025-04-10 19:33:48.757955+00:00,56.77298610263561,355.3125,-1.875,-0.375,23,-10,-8.75,-40.75,-0.016666667,-0.011111111,0.032222222,-0.91,0.48,9.38,-0.58,0.42,-0.41,-0.33,0.07,9.8,1.7325,0,0,2.3,1,65.76,1020.36,-44.33
2025-04-10 19:33:49.797736+00:00,57.70807937,355.25,-1.8125,-0.3125,23,-10,-8.0625,-39.875,0.01,-0.001111111,-0.051111111,-0.54,0.51,9.49,-0.22,0.44,-0.3,-0.32,0.06,9.8,1.8425,0,0,2.3,1,65.76,1020.36,-44.33
2025-04-10 19:33:50.853743+00:00,56.815026580163455,355.25,-1.9375,-0.5,23,-10.25,-8.875,-39.6875,-0.014444444,-0.006666667,-0.008888889,-0.38,0.29,9.44,-0.27,0.06,-0.29,-0.33,0.08,9.8,1.67125,1.25,0,2.3,1,65.76,1020.36,-44.33
2025-04-10 19:33:51.933157+00:00,55.58545146763758,355.1875,-1.75,-0.4375,23,-11.375,-9.5,-39.25,-0.025555556,-0.017777778,-0.013333333,-0.22,0.33,9.46,0.07,0.25,-0.33,-0.3,0.07,9.8,1.7225,0,0,2.3,1,65.76,1020.36,-44.33
2025-04-10 19:33:53.023264+00:00,55.04008510429826,355.125,-1.8125,-0.4375,23,-10.5625,-11.6875,-40.5625,0.023333333,-0.006666667,-0.015555556,-0.34,0.18,9.45,-0.02,0.09,-0.34,-0.31,0.08,9.8,1.67,0,0,2.3,1,65.76,1020.33,-44.23
2025-04-10 19:33:54.112573+00:00,55.079332214784195,355.1875,-1.8125,-0.5,23,-12.0625,-14.375,-40.75,0.004444444,-0.008888889,0.01,-0.24,0.01,9.47,-0.19,-0.19,-0.38,-0.31,0.08,9.8,1.68375,0,0,2.3,1,65.8,1020.33,-44.23
2025-04-10 19:33:55.168981+00:00,56.79649802883222,355.0625,-1.8125,-0.5,23,-9.6875,-15.6875,-39.5,-0.018888889,0.011111111,-0.061111111,-0.12,0.23,9.37,0.19,0.15,-0.42,-0.32,0.08,9.8,1.75625,1.25,0,2.5,1,65.8,1020.33,-44.23
2025-04-10 19:33:56.233147+00:00,56.38154572457491,355.0625,-1.6875,-0.5,23,-11,-14.5,-40.875,-0.016666667,0.024444444,-0.07,-0.45,-0.28,9.43,-0.14,-0.36,-0.36,-0.31,0.08,9.8,1.8,-1.25,0,2.5,1,65.8,1020.33,-44.23
2025-04-10 19:33:57.297221+00:00,56.38907524048318,355,-1.625,-0.375,23,-11.75,-15.5,-40.75,0.015555556,0.005555556,-0.001111111,0,0.28,9.44,0.28,0.21,-0.35,-0.28,0.07,9.8,1.8225,0,0,2.5,1,65.8,1020.33,-44.23
2025-04-10 19:33:58.340935+00:00,57.486235392772436,354.9375,-1.5625,-0.375,23,-11.0625,-16.0625,-39.1875,0.006666667,0.031111111,-0.043333333,-0.6,0.53,9.37,-0.32,0.46,-0.42,-0.28,0.06,9.8,1.8475,0,0,2.3,1,65.8,1020.33,-44.23
2025-04-10 19:33:59.409243+00:00,56.158671784343476,354.875,-1.5625,-0.375,23,-11.375,-15.875,-41.5,0.028888889,0.024444444,-0.013333333,-0.01,0.59,9.4,0.32,0.65,-0.39,-0.28,0.07,9.8,1.71125,0,0,2.3,1,65.8,1020.33,-44.23
2025-04-10 19:34:00.483634+00:00,55.845658439031254,354.875,-1.625,-0.25,23,-12.1875,-15.5,-40.25,-0.004444444,-0.003333333,-0.005555556,-0.07,-0.11,9.39,0.55,0.13,-0.4,-0.27,0.04,9.8,1.8,-1.25,0,2.3,1,65.8,1020.33,-44.23
2025-04-10 19:34:01.540607+00:00,56.77198711691443,355,-1.625,-0.1875,23,-13.0625,-16,-41.0625,0.016666667,0,0.062222222,-0.33,0.33,9.47,-0.05,0.29,-0.32,-0.27,0.03,9.8,1.7925,0,0,2.4,1,65.8,1020.33,-44.23
2025-04-10 19:34:02.592642+00:00,57.032847941105686,355,-1.625,-0.125,23,-13.5625,-16.5625,-40,0.008888889,-0.002222222,0.091111111,0.24,0.05,9.52,0.53,0.03,-0.27,-0.28,0.02,9.8,1.79,2.5,0,2.4,1,65.8,1020.33,-44.23
2025-04-10 19:34:03.666736+00:00,55.854458677820766,354.9375,-1.875,-0.375,23,-12.5625,-17,-41.75,0.006666667,0.006666667,0.042222222,-0.66,-0.16,9.56,-0.07,0.23,-0.31,-0.32,0.06,9.8,1.77125,0,0,2.5,1,65.8,1020.33,-44.23
2025-04-10 19:34:04.740692+00:00,55.875367263324556,354.875,-1.8125,-0.3125,23,-14.0625,-21.25,-42.0625,0.002222222,-0.026666667,0.017777778,-0.2,-0.07,9.4,0.1,-0.13,-0.39,-0.3,0.05,9.8,1.7575,-1.25,0,2.5,1,65.8,1020.33,-44.23
2025-04-10 19:34:05.784655+00:00,57.467279661359484,354.875,-1.75,-0.1875,23,-13.6875,-20.25,-43.0625,-0.003333333,-0.04,-0.003333333,-0.34,0.02,9.41,-0.05,-0.01,-0.38,-0.29,0.03,9.8,1.7925,5,0,2.5,1,65.8,1020.33,-44.23
2025-04-10 19:34:06.821139+00:00,57.89433921636199,354.8125,-1.75,-0.25,23,-12.375,-19,-41.875,-0.002222222,-0.036666667,0.031111111,-0.78,0.17,9.43,-0.48,0.13,-0.36,-0.29,0.03,9.8,1.86625,2.5,0,2.5,1,65.8,1020.33,-44.23
2025-04-10 19:34:07.866677+00:00,57.38592796722735,354.75,-1.6875,-0.375,23,-12.6875,-20.0625,-44.375,-0.021111111,0.011111111,-0.056666667,-0.46,-0.12,9.33,-0.48,0.13,-0.36,-0.29,0.04,9.8,1.73375,0,0,2.4,1,65.8,1020.33,-44.23
2025-04-10 19:34:08.951751+00:00,55.291129629011195,354.75,-1.625,-0.3125,23,-12.6875,-20.6875,-43.5,-0.015555556,-0.017777778,-0.003333333,-0.25,-0.22,9.35,0.02,-0.28,-0.44,-0.28,0.05,9.8,1.755,2.5,0,2.4,1,65.8,1020.33,-44.23
2025-04-10 19:34:09.998728+00:00,57.307781556675685,354.75,-1.8125,-0.4375,23,-13.6875,-23.6875,-44.25,-0.011111111,0,-0.031111111,-0.66,0.22,9.44,-0.17,0.46,-0.32,-0.31,0.07,9.8,1.805,1.25,0,2.4,1,65.8,1020.33,-44.23
