,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 18:06:38.143113+00:00,60.04949357,355.5625,-1.8125,-0.6875,23,2.25,1.0625,-29.75,0.007777778,0.003333333,0.035555555555555556,-0.13,-0.06,9.42,0.16,-0.17,-0.37,-0.3,0.11,9.8,1.9275,1.25,0,,3.2,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:39.119010+00:00,61.483530820160766,355.4375,-1.75,-0.625,23,3.1875,3.375,-29.1875,0.004444444,0.005555556,-0.016666667,-0.53,0.45,9.47,-0.23,0.33,-0.32,-0.3,0.12,9.8,1.85625,3.75,0,,3.2,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:40.097619+00:00,61.31032925236494,355.6875,-1.75,-0.6875,23,3.25,9.375,-31.0625,-0.023333333,-0.043333333,-0.026666667,-0.8,0.13,9.45,-0.01,-0.12,-0.29,-0.36,0.15,9.79,1.84,5,0,,3.2,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:41.080325+00:00,61.055155758939385,355.6875,-2.0625,-0.8125,23,2.1875,17.6875,-35.0625,-0.014444444,-0.062222222,0.071111111,-0.33,0.2,9.43,0.49,-0.09,-0.31,-0.32,0.13,9.8,1.8375000000000001,2.5,0,,3.3,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:42.048419+00:00,61.985230928989395,355.6875,-2,-0.8125,23,0,25,-44.25,0.014444444444444444,0.042222222222222223,-0.027777778,-0.24,0.05,9.46,0.03,0.37,-0.48,-0.34,0.14,9.79,2.0100000000000002,6.25,10,,3.3,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:43.004891+00:00,62.72478615947451,355.5,-1.9375,-0.8125,23,-10.375,24.5625,-59.375,-0.017777778,-0.018888889,0.01,-0.5,-0.17,9.67,-0.11,-0.31,-0.12,-0.38,0.13,9.79,2.025,5,10,,3.3,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:43.960678+00:00,62.777172158730615,355.6875,-2.25,-0.75,23,-17,7.1875,-69.75,-0.022222222,-0.044444444,0.038888889,-0.32,0.1,9.4,0.06,-0.14,-0.29,-0.33,0.13,9.8,2.0100000000000002,2.5,10,,3.2,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:44.918583+00:00,62.63386632805084,355.6875,-2,-0.8125,23,-9.375,-10.75,-60.375,-0.003333333,0.002222222,-0.004444444,-0.16,-0.15,9.39,0.14,-0.28,-0.4,-0.3,0.12,9.8,1.96875,2.5,0,,3.2,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:45.881085+00:00,62.3376716,355.625,-1.75,-0.75,23,-2.5,-14.6875,-42.25,0.004444444,0.014444444444444444,-0.082222222,-0.36,0.04,9.51,0.11,-0.1,-0.51,-0.28,0.12,9.8,2.01375,2.5,0,,3.2,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:46.845668+00:00,62.201528330366926,355.5,-1.625,-0.6875,23,-0.1875,-12,-38.75,0.012222222222222223,0.032222222,-0.065555556,-0.56,0.31,9.44,-0.26,0.19,-0.35,-0.3,0.11,9.8,1.8575,5,0,,3.2,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:47.827794+00:00,61.09332224391714,355.4375,-1.6875,-0.625,23,1.5625,-7.5625,-32.375,0.001111111,-0.021111111,-0.003333333,-0.31,0.61,9.36,0,0.48,-0.43,-0.3,0.12,9.8,1.94625,3.75,10,,3.2,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:48.790132+00:00,62.348142710510686,355.4375,-1.75,-0.6875,23,2.5,-0.5,-30.25,-0.016666667,-0.035555556,0.056666666666666664,-0.23,0.29,9.48,-0.35,0.75,-0.38,-0.29,0.11,9.8,1.89125,3.75,10,,3.1,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:49.752742+00:00,62.33245280635466,355.5,-1.8125,-0.6875,23,3,5.5,-28.0625,0.002222222,0.005555556,0.051111111111111114,-0.64,0.48,9.41,-0.33,0.37,-0.38,-0.3,0.11,9.8,1.95875,3.75,0,,3.1,30,65.89,1020.84,-48.51,0,0,1
2025-04-10 18:06:50.704750+00:00,63.02524809,355.5625,-1.75,-0.625,23,5,11.6875,-27.375,0,0.003333333,-0.015555556,-0.59,0.64,9.38,-0.55,0.19,-0.43,-0.31,0.11,9.8,1.975,2.5,10,,3.3,30,65.66,1020.77,-47.65,0,0,1
2025-04-10 18:06:51.657647+00:00,62.965971715906036,355.4375,-1.75,-0.625,23,5.1875,20.375,-30.25,-0.004444444,-0.044444444,0.013333333333333334,0.27,0.03,9.45,0.58,-0.08,-0.34,-0.3,0.12,9.8,1.85375,3.75,10,,3.3,30,65.66,1020.77,-47.65,0,0,1
2025-04-10 18:06:52.619443+00:00,62.37993279,355.4375,-1.8125,-0.6875,23,2.6875,31.375,-36.75,0.001111111,0.02,0.008888889,-0.22,0.34,9.49,-0.26,-0.31,-0.42,-0.32,0.13,9.8,1.8375000000000001,3.75,0,,3.3,30,65.66,1020.77,-47.65,0,0,1
