,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 18:40:35.495930+00:00,48.68278165834453,355.875,-1.9375,-0.75,23,-4,25,-40.1875,-0.007777778,0.002222222,-0.013333333,-0.28,0.11,9.41,-0.24,-0.17,-0.43,-0.29,0.13,9.8,1.66625,-1.25,0,4.5,45,65.39,1020.68,-47.3,0,0,1
2025-04-10 18:40:36.735743+00:00,48.392111526848524,355.6875,-1.6875,-0.8125,23,-3.25,10,-32.375,-0.024444444,-0.011111111,0.031111111,0.39,0.28,9.61,0.68,0.14,-0.18,-0.3,0.12,9.8,1.6475,1.25,0,4.5,45,65.39,1020.68,-47.3,0,0,1
2025-04-10 18:40:37.943229+00:00,49.68986365895368,355.8125,-1.75,-0.6875,23,-3.375,-9.25,-39.5625,0.013333333333333334,0.01,-0.012222222,-0.6,0.18,9.45,-0.3,0.06,-0.34,-0.33,0.15,9.79,1.8162500000000001,0,0,4.5,45,65.39,1020.68,-47.3,0,0,1
2025-04-10 18:40:39.128900+00:00,50.60422258452931,355.625,-2,-0.875,23,-18.75,-0.5,-68.0625,-0.016666667,-0.033333333,0.071111111,-0.39,0.33,9.39,-0.09,0.25,-0.44,-0.34,0.17,9.79,1.58375,-1.25,0,4.4,45,65.39,1020.68,-47.3,0,0,1
2025-04-10 18:40:40.335615+00:00,49.72160369988537,355.5625,-1.9375,-1,23,-17,29.5,-66.25,0.004444444,0.022222222222222223,-0.152222222,-0.56,-0.09,9.41,-0.22,-0.26,-0.38,-0.34,0.16,9.79,1.67625,1.25,0,4.4,45,65.39,1020.68,-47.3,0,0,1
2025-04-10 18:40:41.555932+00:00,49.167393619525804,355.6875,-2,-0.9375,23,-2.0625,31.25,-40.875,-0.014444444,-0.014444444,0.013333333333333334,-0.18,0.47,9.39,0.15,0.31,-0.39,-0.33,0.16,9.79,1.58375,1.25,0,4.4,45,65.39,1020.68,-47.3,0,0,1
2025-04-10 18:40:42.789736+00:00,48.629677373476646,355.5625,-1.9375,-0.9375,23,-0.25,14.5,-29,0.005555556,-0.026666667,-0.146666667,-0.09,-0.28,9.5,0.04,0.1,-0.45,-0.28,0.13,9.8,1.59125,-1.25,0,4.5,45,65.39,1020.68,-47.3,0,0,1
2025-04-10 18:40:44.091740+00:00,46.08342869260109,355.6875,-1.625,-0.875,23,0.0625,2,-31.875,-0.004444444,0.004444444,-0.067777778,-0.06,0.07,9.46,-0.17,0.22,-0.36,-0.28,0.15,9.8,1.5475,-1.25,0,4.5,45,65.39,1020.68,-47.3,0,0,1
2025-04-10 18:40:45.332070+00:00,48.376567092824025,355.5625,-1.6875,-0.875,23,-1,-6.5625,-41,-0.007777778,-0.01,0.046666667,-0.26,0.07,9.42,0.01,-0.07,-0.37,-0.3,0.15,9.8,1.60625,0,0,4.5,45,65.39,1020.68,-47.3,0,0,1
2025-04-10 18:40:46.562684+00:00,48.75604756683031,355.5,-1.6875,-0.875,23,-18.5,7.5,-71.0625,0.012222222222222223,0.034444444444444444,0.017777777777777778,-0.17,0.01,9.48,-0.19,0.09,-0.43,-0.31,0.15,9.8,1.57875,-1.25,0,4.6,45,65.39,1020.68,-47.3,0,0,1
