,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 18:50:36.907720+00:00,17.941225997578638,344.75,-2.3125,-1.4375,24,-23,-2.25,-67.5,-0.001111111,-0.003333333,0.014444444444444444,-0.51,0.11,9.48,-0.11,-0.13,-0.31,-0.4,0.24,9.79,0.515,1.25,0,4.2,60,65.17,1020.49,-45.34
2025-04-10 18:50:40.404518+00:00,17.15815799210921,344.75,-2.375,-1.5625,24,-23.5625,-29.1875,-69.875,0.01,0.002222222,0.045555556,-0.66,0.51,9.42,0.26,-0.24,-0.22,-0.4,0.27,9.79,0.865,-1.25,0,4.2,60,65.17,1020.49,-45.34
2025-04-10 18:50:43.776912+00:00,17.791596773396492,344.375,-2.1875,-1.625,24,-6.25,-0.5625,-38.6875,0.011111111111111112,0.006666667,-0.011111111,0.09,0.54,9.47,0.09,0.33,-0.45,-0.38,0.28,9.79,0.93,0,0,4.2,60,65.17,1020.49,-45.34
2025-04-10 18:50:46.975354+00:00,18.759150237200625,344.4375,-2.125,-1.6875,24,-3.75,-4.6875,-35.375,-0.006666667,0.04,-0.003333333,-0.26,-0.04,9.52,-0.33,0.02,-0.5,-0.37,0.28,9.79,0.655,0,0,4.3,60,65.17,1020.49,-45.34
2025-04-10 18:50:50.161687+00:00,18.830202701074764,344.4375,-2.25,-1.6875,23,-27.875,-6.6875,-72.25,-0.006666667,-0.007777778,0.006666667,0.13,0.11,9.36,0.46,0.1,-0.31,-0.38,0.29,9.79,0.65625,0,0,4.3,60,65.17,1020.49,-45.7
2025-04-10 18:50:53.132131+00:00,20.199055920698047,344.4375,-2.3125,-1.625,24,-27.6875,-16.1875,-73.75,0,0.004444444,0.047777778,-0.65,0.23,9.34,-0.35,0.08,-0.47,-0.4,0.28,9.79,0.59375,0,0,4.4,60,65.17,1020.49,-45.7
2025-04-10 18:50:56.439314+00:00,18.14250349122718,344.4375,-2.3125,-1.5,23,-9.6875,-33.0625,-41.25,-0.001111111,-0.016666667,0.004444444,-0.13,0.13,9.48,0.25,-0.12,-0.31,-0.39,0.26,9.79,0.56625,0,0,4.7,60,65.17,1020.49,-45.7
2025-04-10 18:51:00.105993+00:00,16.363324257994844,344.375,-2.3125,-1.5625,23,-27.6875,-21.6875,-73.5625,0.011111111111111112,0,-0.03,-0.5,0.61,9.27,0.62,0.26,-0.26,-0.4,0.27,9.79,0.4825,1.25,0,4.4,60,65.17,1020.49,-45.7
2025-04-10 18:51:04.143297+00:00,14.861520439959829,344.3125,-2.25,-1.5625,23,-26.6875,-25.5,-70.375,0.01,0.011111111111111112,-0.004444444,0.06,-0.01,9.4,0.45,-0.29,-0.39,-0.39,0.27,9.79,0.45375,-1.25,0,4.1,60,65.17,1020.49,-45.7
2025-04-10 18:51:08.103274+00:00,15.152061446777303,344.3125,-2.1875,-1.375,24,-27.875,1.5,-71.375,0.01,0.004444444,0.012222222222222223,-0.45,0.31,9.42,0.27,-0.21,-0.4,-0.38,0.23,9.79,0.36875,0,0,4,60,65.17,1020.49,-45.7
