,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 18:37:25.508107+00:00,22.242801774734506,359.625,-2,-0.9375,23,-10.6875,-35.5625,-38.1875,-0.018888889,-0.03,0.002222222,-0.17,-0.1,9.41,0.2,0.18,-0.39,-0.32,0.14,9.8,0.9500000000000001,0,0,3.6,45,65.25,1020.65,-46.49
2025-04-10 18:37:28.373586+00:00,20.938428558532287,359.5,-2,-1,23,-26.25,1.875,-64.0625,-0.012222222,-0.004444444,0,-0.31,-0.06,9.41,0.03,-0.23,-0.38,-0.34,0.17,9.79,0.67125,0,0,3.6,45,65.25,1020.65,-46.49
2025-04-10 18:37:31.176338+00:00,21.40786218,359.5,-2,-0.9375,24,-25.5625,-22.5625,-66.0625,-0.005555556,-0.002222222,-0.055555556,-0.3,-0.13,9.36,0.17,-0.1,-0.36,-0.35,0.16,9.79,0.81,0,0,3.6,45,65.25,1020.65,-46.49
2025-04-10 18:37:33.826524+00:00,22.639689688523518,359.4375,-2.125,-0.9375,24,-18.5,10.1875,-50.5,-0.002222222,-0.014444444,-0.001111111,-0.12,0.09,9.48,0.05,-0.18,-0.39,-0.36,0.17,9.79,1.0125,0,0,3.6,45,65.25,1020.65,-46.49
2025-04-10 18:37:36.344259+00:00,23.831218565412353,359.3125,-1.875,-0.9375,23,-21.75,-29.875,-58.1875,-0.005555556,-0.006666667,-0.013333333,-0.39,0.39,9.38,-0.06,0.23,-0.41,-0.33,0.16,9.79,0.785,-1.25,0,3.7,45,65.25,1020.65,-46.49
2025-04-10 18:37:38.992965+00:00,22.65208987378073,359.375,-1.9375,-0.875,24,-18.1875,9.5625,-53.5,0.002222222,0.006666667,0.004444444,-0.54,0.2,9.42,-0.21,0.04,-0.37,-0.33,0.16,9.79,1.0375,-1.25,0,3.7,45,65.25,1020.65,-46.49
2025-04-10 18:37:41.756638+00:00,21.710507688322025,359.25,-1.875,-0.875,24,-24.5625,-11,-67.875,0.007777778,0.01,0.005555556,-0.19,0.11,9.36,0.21,0.29,-0.28,-0.32,0.15,9.8,0.8,0,0,3.7,45,65.25,1020.65,-46.49
2025-04-10 18:37:44.678854+00:00,20.532385320000596,359.1875,-2,-0.875,24,-6.0625,5.1875,-31.25,0.005555556,0.01,0.002222222,-0.35,0.25,9.39,-0.33,0.14,-0.45,-0.35,0.15,9.79,0.73875,-1.25,0,3.6,45,65.25,1020.65,-46.49
2025-04-10 18:37:47.518295+00:00,21.131705370611023,359.25,-2.125,-0.9375,24,-12.875,9.375,-44,0.006666667,-0.008888889,0.001111111,-0.46,0.15,9.43,-0.15,0.04,-0.37,-0.36,0.16,9.79,0.7475,0,0,3.6,45,65.25,1020.65,-46.49
2025-04-10 18:37:50.744346+00:00,18.597701616613154,359.25,-2.0625,-0.9375,24,-14.75,10.5,-48.25,-0.01,0.004444444,-0.003333333,-0.61,0.19,9.39,-0.12,0.21,-0.37,-0.35,0.17,9.79,0.4825,0,0,3.8,45,65.25,1020.65,-46.49
2025-04-10 18:37:53.963941+00:00,18.63592046584351,359.25,-2.0625,-1,23,-10.6875,10.5,-41.5,-0.005555556,-0.011111111,0.004444444,-0.37,0.37,9.46,-0.02,0.2,-0.33,-0.35,0.17,9.79,0.43625,0,0,3.8,45,65.25,1020.65,-46.49
2025-04-10 18:37:56.988364+00:00,19.83874423638905,359.1875,-2.0625,-0.9375,24,-9.5625,10.375,-42.0625,-0.005555556,-0.005555556,0.021111111111111112,-0.63,0.18,9.31,-0.27,0.01,-0.48,-0.35,0.16,9.79,0.74,0,0,3.8,45,65.34,1020.65,-46.49
2025-04-10 18:37:59.885273+00:00,20.711800920391926,359.125,-2,-0.875,24,-18.75,8.6875,-55.6875,-0.003333333,-0.024444444,-0.005555556,-0.33,0.03,9.42,0.02,-0.1,-0.31,-0.34,0.16,9.79,0.73375,0,0,3.6,45,65.34,1020.65,-46.49
2025-04-10 18:38:02.868650+00:00,20.11113063687584,359.125,-2.0625,-0.9375,24,-19.6875,0.875,-61.1875,0.002222222,0.003333333,0.02,-0.69,-0.02,9.49,0.02,-0.09,-0.27,-0.33,0.15,9.79,0.88375,0,0,3.6,45,65.34,1020.65,-46.49
2025-04-10 18:38:05.771360+00:00,20.670515946782945,359.0625,-1.9375,-0.875,24,-2.5,-29.5,-28.875,-0.006666667,0.018888889,-0.067777778,-0.01,0.07,9.45,0.31,-0.09,-0.34,-0.33,0.16,9.79,0.915,1.25,0,3.9,45,65.34,1020.65,-46.38
2025-04-10 18:38:08.908737+00:00,19.124740980907116,358.875,-2,-0.9375,24,-14.0625,-2.25,-50.25,0.004444444,0.024444444444444446,0.026666667,-0.64,0.26,9.36,0.23,-0.11,-0.29,-0.35,0.15,9.79,0.78,0,0,3.9,45,65.34,1020.65,-46.38
2025-04-10 18:38:12.522833+00:00,16.60130305901895,358.875,-2,-0.875,23,-26.5,-0.5625,-73.75,-0.011111111,-0.003333333,-0.007777778,-0.38,0.32,9.45,-0.15,-0.07,-0.34,-0.36,0.16,9.79,0.53125,0,0,3.7,45,65.34,1020.65,-46.38
2025-04-10 18:38:16.071506+00:00,16.907771044900304,358.75,-2.125,-0.9375,24,-28.5,-26.75,-82.875,0,0.01,0.042222222222222223,-0.6,0.17,9.29,-0.19,-0.12,-0.18,-0.33,0.14,9.79,0.71125,0,0,3.9,45,65.34,1020.65,-46.38
2025-04-10 18:38:19.978618+00:00,15.357110231271788,358.625,-1.9375,-0.8125,24,-24.25,-0.75,-74.0625,0.01,-0.012222222,0.014444444444444444,-0.79,0.18,9.44,-0.42,0.03,-0.35,-0.36,0.14,9.79,0.41250000000000003,0,0,3.5,45,65.34,1020.65,-46.38
2025-04-10 18:38:24.132723+00:00,14.443616698650304,358.5625,-2.0625,-0.9375,24,-18.75,-39.875,-71.6875,-0.006666667,-0.004444444,-0.028888889,-0.12,0.11,9.43,0.23,-0.04,-0.36,-0.35,0.16,9.79,0.68875,0,0,3.8,45,65.34,1020.65,-46.38
