,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 18:05:19.429236+00:00,55.30261174047102,357.1875,-2,-0.625,24,-15.875,10.75,-71.1875,0.002222222,0.005555556,0.005555556,-0.73,-0.05,9.43,-0.33,0.16,-0.4,-0.35,0.12,9.79,1.6475,1.25,0,2.8,30,65.65,1020.83,-48.09,0,1,0
2025-04-10 18:05:20.486643+00:00,56.742481670061565,357.125,-1.9375,-0.625,24,-15,12.375,-69.0625,0.032222222,0.044444444444444446,-0.017777778,-0.52,0.51,9.49,-0.17,0.39,-0.3,-0.34,0.11,9.79,1.7775,1.25,0,2.8,30,65.65,1020.83,-48.09,0,1,0
2025-04-10 18:05:21.540635+00:00,56.92546073843918,357.0625,-1.9375,-0.625,24,-12.5625,15.5625,-68.0625,0.003333333,0.013333333333333334,0.028888888888888888,-0.33,0.29,9.35,-0.42,-0.31,-0.37,-0.31,0.12,9.8,1.8162500000000001,0,0,2.8,30,65.65,1020.83,-48.42,0,1,0
2025-04-10 18:05:22.609712+00:00,56.12289049849277,357.125,-1.8125,-0.6875,24,-12.5,15.0625,-64,0.012222222222222223,0.025555555555555557,0.001111111,-0.8,0.15,9.4,-0.49,0.03,-0.39,-0.29,0.1,9.8,1.76375,1.25,0,2.7,30,65.65,1020.86,-48.42,0,1,0
2025-04-10 18:05:23.672064+00:00,56.47731768791923,357.125,-1.6875,-0.5625,24,-9.75,15.75,-62.0625,-0.004444444,-0.021111111,0.025555555555555557,0.16,0,9.5,-0.01,0.17,-0.37,-0.31,0.08,9.8,1.6825,2.5,0,2.7,30,65.65,1020.86,-48.42,0,1,0
2025-04-10 18:05:24.771005+00:00,54.59821455690655,357.1875,-1.875,-0.5,24,-5.75,16.875,-55.75,-0.015555556,-0.056666667,0.032222222,0.09,-0.66,9.47,0.03,-0.31,-0.49,-0.34,0.09,9.8,1.83625,1.25,0,3,30,65.65,1020.86,-48.42,0,1,0
2025-04-10 18:05:25.878185+00:00,54.193113253114795,357.1875,-2.0625,-0.5,24,-0.25,14,-47.875,0.008888889,-0.028888889,0.015555555555555555,-0.59,0.36,9.43,0.11,0.29,-0.36,-0.34,0.09,9.8,1.75125,1.25,0,3,30,65.65,1020.86,-48.42,0,1,0
2025-04-10 18:05:27.000030+00:00,53.48322171613357,356.9375,-2,-0.5625,24,2.25,3.375,-41.0625,-0.002222222,0.002222222,-0.026666667,-0.25,-0.02,9.5,-0.09,-0.23,-0.34,-0.34,0.11,9.79,1.8162500000000001,0,0,3,30,65.65,1020.86,-48.42,0,1,0
2025-04-10 18:05:28.118522+00:00,53.64254071232148,357,-1.9375,-0.625,24,2.1875,-0.1875,-40.5625,0,0.023333333333333334,-0.004444444,-0.26,0,9.39,-0.42,0.46,-0.39,-0.34,0.1,9.8,1.8475000000000001,0,0,3,30,65.65,1020.86,-48.42,0,1,0
2025-04-10 18:05:29.210225+00:00,54.96166241081717,356.8125,-1.875,-0.625,24,1.1875,-0.5625,-40.5,0.003333333,0.034444444444444444,-0.002222222,-0.81,-0.11,9.35,-0.47,-0.21,-0.44,-0.32,0.1,9.8,1.8225,0,0,3,30,65.65,1020.86,-48.42,0,1,0
2025-04-10 18:05:30.301211+00:00,54.99617017156976,356.75,-1.875,-0.625,23,3.375,-3,-40.875,-0.01,-0.005555556,-0.027777778,-0.5,0.07,9.42,0.09,-0.29,-0.32,-0.31,0.12,9.8,1.7025000000000001,1.25,0,3,30,65.65,1020.86,-48.42,0,1,0
2025-04-10 18:05:31.389405+00:00,55.13847707101029,356.875,-1.9375,-0.6875,24,3.1875,-4.0625,-39.875,-0.017777778,-0.043333333,0.002222222,0.22,0.11,9.39,0.54,-0.01,-0.4,-0.38,0.12,9.79,1.69875,0,0,3,30,65.65,1020.86,-48.42,0,1,0
