,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 17:50:17.244838+00:00,75.09866056307978,351.5625,-2.125,-0.8125,24,-10.75,3.0625,-44.0625,-0.071111111,-0.072222222,0.1711111111111111,-1.22,0.21,9.31,0.22,0.48,-0.47,-0.34,0.13,9.79,2.1175,12.5,30,3,0,65.88,1021.05,-49.88,0,0,1
2025-04-10 17:50:18.038996+00:00,75.54761295071539,351.75,-2.3125,-0.9375,24,-20.75,-32.5,-68,-0.037777778,-0.064444444,0.10777777777777778,0.26,0.79,9.32,0.65,0.63,-0.46,-0.39,0.16,9.79,2.25375,11.25,30,3,0,65.88,1021.05,-49.88,0,0,1
2025-04-10 17:50:19.616645+00:00,76.86237092415996,351.4375,-2.4375,-1.125,24,-8.1875,-20.875,-38.0625,-0.03,-0.036666667,0.10222222222222223,-0.82,0.55,9.39,0.18,0.36,-0.39,-0.42,0.2,9.79,2.13875,12.5,30,3.2,0,65.88,1021.05,-49.88,0,0,1
2025-04-10 17:50:20.406355+00:00,75.97576221587762,351.6875,-2.4375,-1.1875,24,-8.875,3.75,-43.875,-0.031111111,-0.033333333,0.096666667,-0.3,0.8,9.45,-0.56,0.44,-0.33,-0.4,0.19,9.79,2.17,13.75,30,3.2,0,65.88,1021.05,-49.88,0,0,1
2025-04-10 17:50:21.202983+00:00,75.31712514384307,351.5,-2.4375,-1.1875,24,-23.5,-29.25,-71.875,-0.012222222,-0.024444444,-0.055555556,-0.89,0.68,9.5,-0.46,0.47,-0.29,-0.43,0.21,9.79,2.15625,13.75,30,3.3,0,65.92,1021,-49.57,0,0,1
2025-04-10 17:50:22.788813+00:00,74.56807784812433,351.4375,-2.375,-1.125,24,-8.25,-21.6875,-40.1875,-0.005555556,-0.005555556,0.08,-0.22,0.5,9.42,-0.3,0.42,-0.37,-0.41,0.2,9.79,2.17875,12.5,30,3.3,0,65.92,1021,-49.57,0,0,1
2025-04-10 17:50:23.580278+00:00,75.80891777690286,351.25,-2.3125,-1.0625,24,-8.75,-1.6875,-39.875,0.017777777777777778,0.018888889,-0.12,-1.32,0.57,9.3,-0.91,0.38,-0.49,-0.4,0.19,9.79,2.18875,15,30,3.1,0,65.92,1021,-49.57,0,0,1
2025-04-10 17:50:24.354991+00:00,77.45499201,351.25,-2.125,-0.8125,24,-28.25,-11.75,-79.5,-0.001111111,-0.061111111,-0.125555556,-0.99,0.24,9.47,-0.52,0.25,-0.43,-0.36,0.14,9.79,2.24625,7.5,10,3.1,0,65.92,1021,-49.57,0,0,1
2025-04-10 17:50:25.151626+00:00,75.30905627,351.25,-2,-0.75,24,-11.1875,-21.75,-40.875,0.024444444444444446,-0.005555556,-0.06,-1.33,0.71,9.59,-0.97,0.57,-0.2,-0.35,0.14,9.79,2.1725,7.5,10,3.1,0,65.92,1021,-49.57,0,0,1
2025-04-10 17:50:26.771656+00:00,74.10291443270799,351,-1.75,-0.5625,24,-9.75,-5.1875,-37.875,0.066666667,0.054444444,0.018888889,-1.3,0.71,9.41,-0.98,0.59,-0.38,-0.32,0.12,9.8,2.25875,8.75,30,3.2,0,65.92,1021,-49.57,0,0,1
