timestamp,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 17:47:06.301454+00:00,59.59147139347838,356.6875,-2.625,-1.25,23,-34.5,28.75,-71.5,0.04,0.057777777777777775,-0.021111111,-0.22,0.11,9.51,0.16,0.11,-0.33,-0.49,0.23,9.79,1.9412500000000001,2.5,0,2.3,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:07.302602+00:00,59.93335505295587,356.75,-2.75,-1.3125,23,-37.875,22.375,-80,0.052222222222222225,0.054444444,-0.094444444,-0.5,0.22,9.26,-0.02,0.28,-0.53,-0.52,0.24,9.78,1.86125,2.5,0,2.3,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:08.283939+00:00,61.14059617235714,356.9375,-3.0625,-1.4375,23,-40,4.6875,-81.6875,0.006666667,0.001111111,-0.074444444,-0.55,0.29,9.42,-0.02,0.05,-0.36,-0.57,0.27,9.78,1.77625,1.25,0,2.3,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:09.287179+00:00,59.808481285061916,357.0625,-3.25,-1.5625,23,-41,5.0625,-82.375,-0.016666667,-0.012222222,0.028888888888888888,-0.5,0.46,9.44,-0.3,-0.15,-0.3,-0.49,0.24,9.79,1.76,1.25,0,2.5,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:10.304093+00:00,59.00099453218303,357.0625,-2.8125,-1.375,23,-40.0625,-0.75,-79,-0.011111111,-0.02,0,-0.96,0.21,9.51,-0.34,0.58,-0.32,-0.51,0.25,9.78,1.865,0,0,2.5,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:11.319228+00:00,59.107643555352205,357,-3.0625,-1.5625,23,-38.75,-8.1875,-75.1875,-0.033333333,-0.041111111,0.084444444,-0.73,0.02,9.39,-0.21,-0.23,-0.39,-0.45,0.21,9.79,1.8125,0,0,2.5,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:12.332752+00:00,59.19970454045573,356.75,-2.6875,-1.3125,23,-37.0625,-10.375,-70,-0.056666667,-0.038888889,0.082222222,-0.02,0.39,9.28,0.73,-0.21,-0.39,-0.44,0.2,9.79,1.91875,1.25,0,2.5,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:13.360299+00:00,58.38880029735202,357,-2.6875,-1.25,23,-37.5,-12,-66.5625,-0.054444444,-0.024444444,0.15444444444444444,-0.77,0.76,9.44,-0.31,0.54,-0.35,-0.42,0.19,9.79,1.8162500000000001,1.25,0,2.5,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:14.392990+00:00,58.10303328768821,356.6875,-2.4375,-1.125,23,-36.5625,-11.1875,-64.375,-0.018888889,0.007777778,0.10444444444444445,0.38,-0.2,9.43,0.8,-0.39,-0.35,-0.39,0.16,9.79,1.89125,3.75,10,2.8,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:15.436005+00:00,57.52354011,356.625,-2.3125,-1,23,-19.5625,-39.875,-60.6875,-0.026666667,0,0.061111111,0.26,-0.54,9.37,0.65,-0.7,-0.42,-0.42,0.16,9.79,1.89375,0,0,2.8,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:16.487051+00:00,57.08498431660407,356.6875,-2.5,-0.9375,23,-20.1875,-39.1875,-61.375,-0.017777778,-0.044444444,0.037777778,0.32,-0.32,9.37,0.67,-0.42,-0.38,-0.43,0.17,9.79,1.79,2.5,0,2.8,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:17.521927+00:00,57.97643190647405,356.5625,-2.625,-1.0625,23,-16.875,-41.375,-58.875,-0.053333333,-0.058888889,0.082222222,0.05,0.04,9.42,0.48,-0.13,-0.36,-0.43,0.18,9.79,1.83125,3.75,10,2.5,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:18.541683+00:00,58.84197454714908,356.25,-2.5,-1.0625,23,-16.5,-39.1875,-53.25,-0.013333333,0.008888889,-0.05,0.27,-0.53,9.41,0.7,-0.71,-0.38,-0.45,0.22,9.79,1.86375,2.5,0,2.5,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:19.536601+00:00,60.30301723270332,356.5,-2.5625,-1.25,23,-16.5,-35.875,-53.1875,0.035555555555555556,0.048888889,-0.111111111,-0.43,-0.32,9.33,0.23,-0.54,-0.32,-0.46,0.22,9.79,1.88625,2.5,0,2.5,0,65.44,1021.06,-50.33,1,0,0
2025-04-10 17:47:20.544891+00:00,59.51045767754357,356.6875,-2.5625,-1.1875,23,-14.1875,-32.25,-48.0625,0.036666667,0.043333333333333335,0.008888889,-0.79,0.56,9.37,-0.33,0.34,-0.41,-0.44,0.23,9.79,1.94875,2.5,0,2.5,0,65.61,1021.02,-50.06,1,0,0
2025-04-10 17:47:21.557525+00:00,59.25147111417607,356.5,-2.5,-1.25,23,-14.5,-30.5,-46.1875,0.047777778,0.031111111,0.005555556,-0.97,0.41,9.38,-0.09,0.29,-0.37,-0.47,0.23,9.79,1.84,-1.25,0,2.5,0,65.61,1021.02,-50.06,1,0,0
2025-04-10 17:47:23.602971+00:00,58.195286023991905,356.5625,-2.6875,-1.3125,23,-14.0625,-26.5625,-43.5625,0.013333333333333334,0.038888889,-0.01,-0.89,0.48,9.44,-0.41,0.25,-0.34,-0.45,0.19,9.79,1.885,2.5,0,2.7,0,65.61,1021.02,-50.06,1,0,0
2025-04-10 17:47:24.608510+00:00,59.67122032601021,356.5625,-2.625,-1.125,23,-13.1875,-27.25,-45.5625,0,0.002222222,0.047777778,-0.54,0,9.4,-0.08,-0.18,-0.38,-0.42,0.2,9.79,1.78875,1.25,0,2.7,0,65.61,1021.02,-50.06,1,0,0
2025-04-10 17:47:25.637759+00:00,58.29343535257745,356.6875,-2.4375,-1.125,23,-12.375,-24.1875,-44.875,-0.002222222,-0.014444444,0.047777778,-0.48,0.67,9.54,-0.05,0.47,-0.25,-0.44,0.23,9.79,1.90375,1.25,0,2.6,0,65.61,1021.02,-50.06,1,0,0
2025-04-10 17:47:26.666753+00:00,58.309467743396695,356.375,-2.5625,-1.3125,23,-14.5625,-22.5,-44.5625,-0.012222222,-0.026666667,0.014444444444444444,-0.56,0.23,9.42,-0.45,0.29,-0.31,-0.5,0.25,9.79,1.92625,2.5,0,2.6,0,65.61,1021.02,-50.06,1,0,0
2025-04-10 17:47:27.686435+00:00,58.844574972057636,356.5625,-2.9375,-1.4375,23,-16.1875,-21.875,-45.0625,-0.002222222,-0.018888889,0.04,-0.65,0.34,9.37,-0.15,0.09,-0.41,-0.43,0.22,9.79,1.89125,1.25,0,2.6,0,65.61,1021.02,-50.06,1,0,0
2025-04-10 17:47:28.684046+00:00,60.14028849187003,356.5625,-2.5625,-1.3125,23,-16.1875,-20.5,-44.1875,-0.021111111,-0.032222222,0.028888888888888888,-0.6,0.13,9.47,-0.16,-0.08,-0.31,-0.47,0.24,9.79,1.9000000000000001,2.5,0,2.4,0,65.61,1021.02,-50.06,1,0,0
2025-04-10 17:47:29.678326+00:00,60.34480658402268,356.375,-2.8125,-1.4375,23,-13.875,-17.0625,-43.75,-0.052222222,-0.058888889,0.058888888888888886,-0.48,0.25,9.42,0.14,0.13,-0.33,-0.44,0.21,9.79,1.7825,2.5,10,2.4,0,65.61,1021.02,-50.06,1,0,0
2025-04-10 17:47:30.700804+00:00,58.68435682278628,356.25,-2.6875,-1.25,23,-14.5,-19,-43.875,-0.051111111,-0.057777778,0.10111111111111111,-0.58,0,9.37,-0.13,-0.22,-0.42,-0.52,0.23,9.78,1.9412500000000001,1.25,0,2.4,0,65.61,1021.02,-50.06,1,0,0
