,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 17:48:40.347614+00:00,67.79860177539501,353.9375,-3.0625,-1.4375,23,-15.0625,-3.5625,-38.875,0.083333333,0.073333333,-0.072222222,-0.8,0.14,9.45,-0.25,-0.12,-0.33,-0.55,0.27,9.78,1.8375000000000001,3.75,10,3,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:41.262920+00:00,65.54400524439052,354.4375,-3.0625,-1.5,23,-16.0625,8.1875,-46.375,-0.047777778,-0.056666667,0.11555555555555555,-0.07,0.38,9.42,0.07,0.36,-0.32,-0.5,0.24,9.79,2.06625,5,0,3,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:42.169236+00:00,66.20715782096266,354,-3,-1.5,23,-30.1875,10.25,-74.75,0.024444444444444446,0.044444444444444446,0.003333333,0.04,-0.55,9.48,0.11,-0.61,-0.5,-0.52,0.26,9.78,2.0725000000000002,5,10,3.1,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:43.073053+00:00,66.38438903433858,354.5625,-3.25,-1.6875,23,-34.1875,-16.25,-78.1875,-0.013333333,-0.053333333,-0.011111111,-1,0.98,9.46,-0.45,0.69,-0.32,-0.55,0.29,9.78,1.9225,3.75,10,3.1,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:44.868720+00:00,67.01509647700938,353.9375,-2.875,-1.4375,23,-22.75,-31,-52,0.004444444,0.028888888888888888,-0.022222222,-0.13,-0.91,9.44,0.55,-0.39,-0.54,-0.5,0.25,9.79,1.97125,3.75,10,3.1,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:45.761030+00:00,67.24304525537225,354.375,-3.3125,-1.8125,23,-15.25,-15.0625,-38.6875,-0.006666667,-0.022222222,-0.006666667,-0.28,0.49,9.44,0.27,0.18,-0.34,-0.56,0.31,9.78,2.0525,2.5,10,3.1,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:46.643450+00:00,67.99411106250795,353.8125,-2.9375,-1.5625,23,-14.6875,-6.25,-37.5625,0.048888889,0.047777778,-0.046666667,-0.09,-0.26,9.33,0.43,-0.55,-0.45,-0.52,0.29,9.78,1.93625,10,30,3.1,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:47.521997+00:00,68.29441868467602,354.625,-3.3125,-1.875,23,-14.375,9.75,-46.25,-0.004444444,-0.015555556,0.03,-0.67,0.27,9.27,-0.62,0.27,-0.35,-0.56,0.32,9.78,2.055,5,10,3.1,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:48.431605+00:00,65.96366442435121,354.125,-3.125,-1.6875,23,-26.5625,9.5625,-71,0.055555556,0.048888889,-0.077777778,-0.57,0.38,9.38,-0.2,-0.21,-0.42,-0.54,0.3,9.78,2.0175,6.25,10,3,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:49.319131+00:00,67.60227043783561,354.25,-3,-1.8125,23,-30,-17,-74.6875,-0.015555556,-0.025555556,0.033333333,-0.52,0.36,9.45,-0.01,0.05,-0.33,-0.51,0.3,9.78,1.95875,5,10,3,0,65.88,1021.05,-49.94,0,1,0
2025-04-10 17:48:50.206821+00:00,67.59016001140924,353.625,-2.5625,-1.25,23,-17.5,-25.375,-46.5,0.04,0.057777777777777775,-0.115555556,-0.09,-0.1,9.51,0.37,-0.33,-0.27,-0.46,0.23,9.79,2.02875,5,0,2.9,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:51.109497+00:00,66.46842740823615,354.25,-3.0625,-1.6875,23,-12.5625,-13.6875,-37,-0.014444444,-0.023333333,0.025555555555555557,-0.46,0.43,9.48,-0.19,0.4,-0.4,-0.52,0.29,9.78,2.025,2.5,0,2.9,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:52.028893+00:00,65.26895817658533,353.625,-2.3125,-1.0625,23,-10.875,-5.1875,-35.375,0.072222222,0.071111111,-0.05,-0.42,0.04,9.4,0.07,-0.12,-0.32,-0.42,0.21,9.79,1.9512500000000002,5,10,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:53.805460+00:00,67.91713220696869,354.125,-3.25,-1.75,23,-11.375,7.875,-42,-0.022222222,-0.013333333,-0.051111111,-0.78,0.65,9.35,-0.06,0.42,-0.3,-0.55,0.29,9.78,1.97625,6.25,10,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:54.697957+00:00,67.22682467,353.75,-2.75,-1.3125,23,-24.6875,15.75,-66.5625,0.025555555555555557,0.024444444444444446,-0.032222222,-0.83,-0.2,9.41,0.38,-0.61,-0.35,-0.47,0.23,9.79,2.00375,6.25,10,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:55.587502+00:00,67.44978217904577,354.1875,-2.3125,-1.0625,23,-26.6875,-21.6875,-68.875,-0.051111111,-0.062222222,0.094444444,-0.37,0.54,9.35,0.14,0.08,-0.44,-0.38,0.16,9.79,2.08375,5,10,2.9,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:56.463379+00:00,68.50305647,353.8125,-2.3125,-0.9375,23,-14.875,-20,-42.375,0.051111111111111114,0.086666667,-0.067777778,-0.59,0.2,9.47,-0.16,0.01,-0.31,-0.43,0.18,9.79,2.05375,5,10,2.9,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:57.335950+00:00,68.76236978544055,353.75,-2.5,-1.125,23,-13.375,-8.1875,-36.75,-0.072222222,-0.043333333,0.14888888888888888,0.63,-0.63,9.39,1.04,-0.81,-0.4,-0.41,0.17,9.79,1.9837500000000001,7.5,10,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:58.222888+00:00,67.64775504,353.6875,-2.75,-1.3125,23,-11,5.375,-38.875,0.052222222222222225,0.036666667,-0.146666667,-1.06,0.38,9.48,-0.35,0.13,-0.3,-0.48,0.24,9.79,1.9312500000000001,1.25,0,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:59.111582+00:00,67.51635672,353.8125,-2.5625,-1.3125,23,-15.5,19.75,-53.375,-0.062222222,-0.034444444,0.073333333,0.22,0,9.43,0.67,-0.21,-0.36,-0.44,0.21,9.79,2.0075,2.5,0,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:00.014483+00:00,66.45143777560666,353.75,-2.75,-1.1875,23,-26.6875,14.375,-71.25,0.047777778,0.054444444,-0.056666667,-0.74,0.5,9.39,-0.26,0.28,-0.39,-0.48,0.22,9.79,1.93625,5,10,3.1,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:02.718665+00:00,67.72026057,354.1875,-2.8125,-1.4375,23,-24.375,-19.75,-67.75,-0.063333333,-0.078888889,0.15777777777777777,-0.48,0.77,9.34,-0.02,0.53,-0.44,-0.45,0.22,9.79,1.95375,6.25,10,3.1,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:03.604476+00:00,67.74051266839352,353.4375,-2.75,-1.25,23,-13.0625,-15.5,-42.375,0.084444444,0.056666666666666664,-0.048888889,-0.12,0.27,9.37,-0.37,0.3,-0.35,-0.49,0.24,9.79,2.06,7.5,10,3.1,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:04.509286+00:00,66.30625769353996,353.6875,-3.0625,-1.625,23,-12.75,-5.0625,-37,-0.076666667,-0.07,0.17444444444444446,-0.01,0.11,9.33,0.87,-0.52,-0.33,-0.49,0.26,9.79,2.0175,5,10,3,0,65.82,1021,-49.62,0,1,0
