,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 17:09:43.502000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:44.550000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:45.589000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:46.626000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:47.677000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:48.710000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:49.757000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:50.804000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:51.860000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:52.911000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:53.955000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:54.992000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:56.039000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:57.097000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:58.147000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:59.199000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:00.249000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:01.300000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:02.352000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:03.406000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:04.441000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:05.489000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:06.538000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:07.589000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:08.640000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:09.689000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:10.728000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:11.777000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:12.818000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:13.852000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:14.889000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:15.925000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:16.959000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:17.995000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:19.045000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:20.094000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:21.132000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:22.172000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:23.217000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:24.267000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:25.316000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:26.366000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:27.412000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:28.464000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:29.512000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:30.565000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:31.606000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:32.648000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:33.695000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:34.747000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:35.796000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:36.834000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:37.885000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:38.933000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:39.984000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:41.022000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:10:42.059000+00:00,,,,,359.9375,-2.9375,-0.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:43.525000+00:00,,,,,,,,,-20.6875,-38.5,-74.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:44.559000+00:00,,,,,,,,,-20.25,-38.1875,-73.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:45.599000+00:00,,,,,,,,,-20.6875,-38.1875,-73.375,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:46.651000+00:00,,,,,,,,,-20.6875,-38.1875,-72.5625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:47.686000+00:00,,,,,,,,,-20.25,-37.75,-73.375,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:48.731000+00:00,,,,,,,,,-19.875,-38.5,-72.5625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:49.778000+00:00,,,,,,,,,-20.6875,-38.1875,-73.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:50.829000+00:00,,,,,,,,,-20.6875,-38.5625,-73.0,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:09:51.885000+00:00,,,,,,,,,-20.6875,-37.375,-73.375,,,,,,,,,,,,,,,,,,,,,
