,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-05-05 21:39:49.818685+00:00,13.21251891509792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:55.371227+00:00,10.80583142836606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:00.249000+00:00,12.300700112494077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:04.866636+00:00,12.993679903418789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:09.275317+00:00,13.609651314465939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:20.129335+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:30.144647+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:40.160072+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:48.454000+00:00,,357.3125,-2.125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:49.506000+00:00,,357.25,-2.1875,1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:50.556000+00:00,,357.3125,-2.0625,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:51.606000+00:00,,357.25,-2.125,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:52.643000+00:00,,357.3125,-1.875,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:53.677000+00:00,,357.25,-2.0,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:54.725000+00:00,,357.125,-2.1875,1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:55.774000+00:00,,357.1875,-2.0625,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:56.810000+00:00,,357.125,-2.3125,1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:57.856000+00:00,,357.3125,-2.125,1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:58.908000+00:00,,356.9375,-2.125,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:39:59.958000+00:00,,357.0,-2.25,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:01.007000+00:00,,357.0,-2.0625,1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:02.058000+00:00,,357.0,-2.375,1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:03.106000+00:00,,356.9375,-2.4375,1.625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:04.151000+00:00,,356.8125,-2.375,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:05.201000+00:00,,356.9375,-2.125,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:40:06.235000+00:00,,356.8125,-2.3125,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
