,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-05-05 21:37:36.159068+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:46.174357+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:56.178649+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:06.194661+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:16.204350+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:26.209299+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:36.687000+00:00,,352.1875,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:37.737000+00:00,,352.25,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:38.786000+00:00,,352.3125,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:39.835000+00:00,,352.25,-2.25,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:40.881000+00:00,,352.3125,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:41.932000+00:00,,352.4375,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:42.978000+00:00,,352.4375,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:44.011000+00:00,,352.4375,-2.25,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:45.056000+00:00,,352.5,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:46.104000+00:00,,352.625,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:47.155000+00:00,,352.625,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:48.201000+00:00,,352.625,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:49.247000+00:00,,352.6875,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:50.301000+00:00,,352.75,-2.25,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:51.335000+00:00,,352.6875,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:52.369000+00:00,,352.6875,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:53.407000+00:00,,352.875,-2.375,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:54.441000+00:00,,352.875,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:55.477000+00:00,,352.9375,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:56.514000+00:00,,353.0,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:57.552000+00:00,,353.0,-2.375,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:58.604000+00:00,,353.0625,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:59.652000+00:00,,353.0625,-2.375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:00.698000+00:00,,353.125,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:01.747000+00:00,,353.1875,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:02.805000+00:00,,353.1875,-2.25,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:03.855000+00:00,,353.25,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:04.904000+00:00,,353.25,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:05.953000+00:00,,353.3125,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:07.002000+00:00,,353.375,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:08.050000+00:00,,353.375,-2.375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:09.095000+00:00,,353.4375,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:10.145000+00:00,,353.5625,-2.25,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:11.197000+00:00,,353.4375,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:12.247000+00:00,,353.5,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:13.300000+00:00,,353.5625,-2.375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:14.350000+00:00,,353.5625,-2.375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:15.400000+00:00,,353.6875,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:16.431000+00:00,,353.6875,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:17.481000+00:00,,353.875,-2.375,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:18.515000+00:00,,353.875,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:19.564000+00:00,,353.875,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:20.610000+00:00,,354.0625,-2.4375,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:21.659000+00:00,,354.0625,-2.375,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:22.707000+00:00,,354.125,-2.375,1.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:23.758000+00:00,,354.25,-2.375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:24.814000+00:00,,354.25,-2.4375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:25.865000+00:00,,354.25,-2.25,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:26.916000+00:00,,354.3125,-2.4375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:27.961000+00:00,,354.375,-2.375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:29.007000+00:00,,354.5,-2.4375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:30.058000+00:00,,354.5,-2.375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:31.105000+00:00,,354.5625,-2.4375,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:32.154000+00:00,,354.5625,-2.375,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:33.205000+00:00,,354.625,-2.375,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:34.256000+00:00,,354.6875,-2.375,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:35.305000+00:00,,354.75,-2.25,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:36.706000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:37.756000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:38.805000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:39.849000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:40.900000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:41.947000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:42.982000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:44.027000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:45.073000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:46.124000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:47.172000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:48.218000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:49.263000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:50.306000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:51.340000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:52.374000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:53.412000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:54.446000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:55.483000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:56.522000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:57.571000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:58.620000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:59.669000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:00.713000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:01.770000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:02.826000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:03.875000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:38:04.920000+00:00,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,
