,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-05-05 21:36:22.631467+00:00,23.604515147805948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:25.097579+00:00,24.329878568249235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:27.615461+00:00,23.82965474787365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:30.238260+00:00,22.876191722843988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:32.786165+00:00,23.548831697102603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:35.235037+00:00,24.500953865430738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:37.676642+00:00,24.57409214811936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:40.108552+00:00,24.672250690486678,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:42.628847+00:00,23.806487828864533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:45.160172+00:00,23.704014046558566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:47.598109+00:00,24.611145388575892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:49.984555+00:00,25.141733191256137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:52.542198+00:00,23.45918035850867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:54.996292+00:00,24.447896840539453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:57.410349+00:00,24.854535851185414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:59.669501+00:00,26.559513207978085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:01.918977+00:00,26.67291010310043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:04.256894+00:00,25.66275240502033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:06.560958+00:00,26.041312079047927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:08.859861+00:00,26.099502378176407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:11.186559+00:00,25.78771274422593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:13.640028+00:00,24.454807799667023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:16.099848+00:00,24.392042551743796,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:18.294567+00:00,27.340109054836716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:37:20.669289+00:00,25.264880015075107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:22.548000+00:00,,348.375,-2.1875,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:23.581000+00:00,,348.1875,-2.1875,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:24.624000+00:00,,348.3125,-2.125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:25.670000+00:00,,348.375,-2.25,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:26.711000+00:00,,348.4375,-2.375,1.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:27.757000+00:00,,348.375,-2.375,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:28.808000+00:00,,348.375,-2.3125,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:29.853000+00:00,,348.5625,-2.375,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:30.893000+00:00,,348.625,-2.5,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:31.941000+00:00,,348.6875,-2.4375,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:32.976000+00:00,,348.75,-2.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:34.023000+00:00,,348.625,-2.25,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:35.070000+00:00,,348.8125,-2.4375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:36.116000+00:00,,348.875,-2.5,1.875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:37.162000+00:00,,348.875,-2.6875,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:38.209000+00:00,,348.9375,-2.75,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:39.252000+00:00,,349.0625,-2.625,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:40.301000+00:00,,349.0,-2.4375,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:41.343000+00:00,,349.125,-2.5,1.6875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 21:36:42.387000+00:00,,349.25,-2.5,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
