,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-05-05 22:14:55.048913+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:05.059587+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:15.078853+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:25.083192+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:35.101855+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:45.120864+00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:14:50.938000+00:00,,39.4375,-3.375,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:14:51.975000+00:00,,39.375,-3.375,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:14:53.025000+00:00,,38.4375,-3.375,1.375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:14:54.075000+00:00,,38.0,-3.3125,1.8125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:14:55.125000+00:00,,38.25,-3.3125,2.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:14:56.169000+00:00,,38.375,-3.3125,2.1875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:14:57.214000+00:00,,38.3125,-3.75,2.3125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:14:58.266000+00:00,,38.25,-3.875,2.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:14:59.314000+00:00,,38.5,-3.0,2.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:00.363000+00:00,,38.625,-3.375,1.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:01.414000+00:00,,38.625,-3.5,1.9375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:02.463000+00:00,,38.6875,-3.5625,2.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:03.521000+00:00,,38.625,-3.3125,2.1875,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:04.572000+00:00,,38.625,-3.4375,2.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:05.623000+00:00,,38.5,-3.4375,2.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:06.674000+00:00,,38.625,-3.4375,2.0625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:07.708000+00:00,,38.625,-3.5,2.125,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-05 22:15:08.758000+00:00,,38.5,-3.375,2.125,,,,,,,,,,,,,,,,,,,,,,,,,
