timestamp,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-05-05 21:31:14.792391+00:00,31.972066234957328,344.1875,-2.3125,1.9375,23,-30.875,-43,-65.5,-0.001111111,0.02,-0.065555556,-0.21,-0.05,,-0.03,0.18,-0.51,-0.39,-0.32,9.79,0.685,16.25,10,3.8,30,65.45,1005.37,80.1
2025-05-05 21:31:16.724583+00:00,31.052453051129064,344.25,-2.25,1.9375,23,-12.875,-10.1875,-38.75,0.02,0.007777778,0.05,-0.43,-0.14,9.27,-0.03,0.18,-0.51,-0.39,-0.32,9.79,0.52,12.5,0,3.8,30,65.45,1005.37,80.1
2025-05-05 21:31:18.687666+00:00,30.564350151413983,344,-2.1875,1.875,23,-14.0625,-4.5,-45.375,0.027777778,0.013333333,-0.114444444,0.24,-0.56,9.59,0.63,-0.25,-0.19,-0.38,-0.31,9.79,0.6,11.25,10,3.6,30,65.45,1005.37,80.1
2025-05-05 21:31:20.654496+00:00,30.50608871411076,344.375,-2.4375,1.8125,23,-5.6875,7.5,-49.1875,0,0.012222222,0.028888889,-0.79,-0.16,9.27,-0.28,0.23,-0.53,-0.44,-0.31,9.79,0.70375,15,10,3.9,30,65.45,1005.37,80.1
2025-05-05 21:31:22.555985+00:00,31.553585487104826,344.25,-2.375,1.8125,23,-14.25,5.875,-65.75,-0.01,-0.004444444,0.037777778,-0.42,-0.28,9.38,0,0.02,-0.4,-0.41,-0.31,9.79,0.6225,12.5,10,3.9,30,65.45,1005.37,80.1
2025-05-05 21:31:24.528742+00:00,30.41461014,344.125,-2.0625,1.75,23,-21.5,-3.1875,-75.5625,-0.008888889,0.017777778,-0.02,-0.23,-0.59,9.12,0.12,-0.29,-0.66,-0.36,-0.3,9.79,0.66375,12.5,10,3.7,30,65.45,1005.37,80.1
2025-05-05 21:31:26.451454+00:00,31.206040170586604,344,-2.1875,1.8125,23,-26.25,-27,-75.875,0.002222222,0.003333333,0.043333333,-0.05,-0.01,9.62,0.04,0.38,-0.33,-0.37,-0.31,9.79,0.6125,13.75,10,3.8,30,65.45,1005.37,80.1
2025-05-05 21:31:28.409870+00:00,30.63688548060048,344.0625,-2.0625,1.9375,23,-23.0625,-36,-66.1875,0.023333333,0.014444444,-0.008888889,-0.67,-0.41,9.32,-0.31,-0.07,-0.47,-0.36,-0.33,9.79,0.5025,8.75,0,3.8,30,65.45,1005.37,80.1
2025-05-05 21:31:30.372154+00:00,30.57661612446031,343.875,-2.0625,2.0625,23,-2.25,-9.5625,-32,0.015555556,0.033333333,-0.025555556,-0.22,-0.29,9.66,-0.19,0.25,-0.19,-0.36,-0.35,9.79,0.57125,11.25,10,3.8,30,65.33,1005.4,79.72
2025-05-05 21:31:32.307378+00:00,31.004261236936507,343.875,-2.125,2,23,-2.5625,-0.25,-37.0625,0.025555556,-0.008888889,-0.024444444,-0.27,-0.27,9.05,0.09,0.06,-0.74,-0.36,-0.33,9.79,0.495,10,0,3.6,30,65.33,1005.4,79.72
