,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:50:56.823000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,23.0,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:56.924000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,23.0,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:56.937000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,23.0,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:56.984000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,23.0,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:57.034000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,23.0,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:57.199000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,23.0,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:57.479000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,21.56,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:57.703000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,21.56,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:57.764000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,21.56,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:57.824000+00:00,54.01326444531651,60.0,60.0,60.0,324.312,-2.688,-0.875,21.56,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:57.873000+00:00,54.01326444531651,60.0,60.0,60.0,324.375,-2.625,-0.875,21.56,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:57.933000+00:00,54.01326444531651,60.0,60.0,60.0,324.375,-2.625,-0.875,23.0,-34.188,-39.375,-38.25,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
2024-11-25 20:50:57.983000+00:00,54.01326444531651,60.0,60.0,60.0,324.375,-2.625,-0.875,23.0,-33.375,-42.375,-37.062,-0.038,0.003,-0.108,-0.71,0.64,9.47,0.25,0.49,-0.31,-0.45,0.15,9.79,1.745,-1.25,0.0,360.0,1.7,1.0,1015.92,44.77,-7.45
