,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:52:27.433000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,21.57,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
2024-11-25 20:52:27.685000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,21.57,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
2024-11-25 20:52:27.744000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,23.0,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
2024-11-25 20:52:27.793000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,23.0,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
2024-11-25 20:52:27.843000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,23.0,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
2024-11-25 20:52:27.893000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,23.0,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
2024-11-25 20:52:27.943000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,23.0,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
2024-11-25 20:52:27.994000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,23.0,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
2024-11-25 20:52:28.093000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,23.0,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
2024-11-25 20:52:28.143000+00:00,20.7804651112263,60.0,60.0,60.0,321.188,-2.375,-0.875,23.0,-52.5,4.875,-45.0,-0.008,-0.018,0.002,-0.75,0.2,9.43,-0.34,0.04,-0.36,-0.4,0.15,9.79,0.7262500000000001,0.0,0.0,360.0,2.1,1.0,1015.88,44.76,-7.37
