,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:45:29.746000+00:00,58.35334119622096,60.0,60.0,60.0,325.688,-3.188,-1.0,23.0,-69.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
2024-11-25 20:45:29.835000+00:00,58.35334119622096,60.0,60.0,60.0,325.688,-3.188,-1.0,23.0,-69.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
2024-11-25 20:45:29.839000+00:00,58.35334119622096,60.0,60.0,60.0,325.688,-3.188,-1.0,23.0,-69.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
2024-11-25 20:45:30.084000+00:00,58.35334119622096,60.0,60.0,60.0,325.688,-3.188,-1.0,23.0,-69.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
2024-11-25 20:45:30.235000+00:00,58.35334119622096,60.0,60.0,60.0,325.688,-3.188,-1.0,21.54,-69.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
2024-11-25 20:45:30.753000+00:00,58.35334119622096,60.0,60.0,60.0,325.562,-3.0,-0.875,21.54,-69.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
2024-11-25 20:45:30.846000+00:00,58.35334119622096,60.0,60.0,60.0,325.562,-3.0,-0.875,23.0,-69.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
2024-11-25 20:45:30.850000+00:00,58.35334119622096,60.0,60.0,60.0,325.562,-3.0,-0.875,23.0,-106.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
2024-11-25 20:45:30.896000+00:00,58.35334119622096,60.0,60.0,60.0,325.562,-3.0,-0.875,23.0,-106.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
2024-11-25 20:45:30.945000+00:00,58.35334119622096,60.0,60.0,60.0,325.562,-3.0,-0.875,23.0,-106.25,-4.188,-17.375,-0.01,-0.023,-0.033,-0.25,-0.48,9.35,0.25,-0.64,-0.43,-0.51,0.15,9.79,1.92875,3.75,10.0,315.0,1.9,1.0,1015.88,44.71,-7.27
