,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:43:46.720000+00:00,53.58869110368971,60.0,60.0,60.0,323.25,-2.375,-0.75,23.0,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:46.814000+00:00,53.58869110368971,60.0,60.0,60.0,323.25,-2.375,-0.75,23.0,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:46.818000+00:00,53.58869110368971,60.0,60.0,60.0,323.25,-2.375,-0.75,23.0,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:46.864000+00:00,53.58869110368971,60.0,60.0,60.0,323.25,-2.375,-0.75,23.0,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:46.914000+00:00,53.58869110368971,60.0,60.0,60.0,323.25,-2.375,-0.75,23.0,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:46.964000+00:00,53.58869110368971,60.0,60.0,60.0,323.25,-2.375,-0.75,23.0,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.015000+00:00,53.58869110368971,60.0,60.0,60.0,323.25,-2.375,-0.75,23.0,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.214000+00:00,53.58869110368971,60.0,60.0,60.0,323.25,-2.375,-0.75,21.51,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.414000+00:00,53.81599906893307,60.0,60.0,60.0,323.25,-2.375,-0.75,21.51,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.516000+00:00,53.81599906893307,60.0,60.0,60.0,323.25,-2.375,-0.75,21.51,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.568000+00:00,53.81599906893307,60.0,60.0,60.0,323.25,-2.375,-0.75,21.51,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.628000+00:00,53.81599906893307,60.0,60.0,60.0,323.25,-2.375,-0.75,21.51,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.755000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,21.51,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.812000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,23.0,-114.062,-7.062,-0.562,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.862000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,23.0,-90.5,5.75,-27.062,0.004,-0.007,0.019,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.912000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,23.0,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.1,0.22,9.43,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:47.961000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,23.0,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,0.3,0.09,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.012000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,23.0,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.062000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,23.0,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.112000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,23.0,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.161000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,23.0,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.212000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,21.51,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.261000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,21.51,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.311000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,21.51,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.361000+00:00,53.81599906893307,60.0,60.0,60.0,323.375,-2.375,-0.812,21.51,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.411000+00:00,53.816214445114404,60.0,60.0,60.0,323.375,-2.375,-0.812,21.51,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,1.25,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.465000+00:00,53.816214445114404,60.0,60.0,60.0,323.375,-2.375,-0.812,21.51,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.75625,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.516000+00:00,53.816214445114404,60.0,60.0,60.0,323.375,-2.375,-0.812,21.51,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.565000+00:00,53.816214445114404,60.0,60.0,60.0,323.375,-2.375,-0.812,21.51,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.762000+00:00,53.816214445114404,60.0,60.0,60.0,323.5,-2.375,-0.875,21.51,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.851000+00:00,53.816214445114404,60.0,60.0,60.0,323.5,-2.375,-0.875,23.0,-90.5,5.75,-27.062,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.855000+00:00,53.816214445114404,60.0,60.0,60.0,323.5,-2.375,-0.875,23.0,-63.5,7.25,-32.875,0.007,0.021,0.018,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.900000+00:00,53.816214445114404,60.0,60.0,60.0,323.5,-2.375,-0.875,23.0,-63.5,7.25,-32.875,-0.01,-0.011,0.001,-0.46,0.37,9.47,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.950000+00:00,53.816214445114404,60.0,60.0,60.0,323.5,-2.375,-0.875,23.0,-63.5,7.25,-32.875,-0.01,-0.011,0.001,-0.4,-0.06,9.42,-0.05,0.23,-0.32,-0.4,0.14,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:48.999000+00:00,53.816214445114404,60.0,60.0,60.0,323.5,-2.375,-0.875,23.0,-63.5,7.25,-32.875,-0.01,-0.011,0.001,-0.4,-0.06,9.42,0.0,-0.21,-0.36,-0.4,0.14,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:49.049000+00:00,53.816214445114404,60.0,60.0,60.0,323.5,-2.375,-0.875,23.0,-63.5,7.25,-32.875,-0.01,-0.011,0.001,-0.4,-0.06,9.42,0.0,-0.21,-0.36,-0.41,0.15,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:49.099000+00:00,53.816214445114404,60.0,60.0,60.0,323.5,-2.375,-0.875,23.0,-63.5,7.25,-32.875,-0.01,-0.011,0.001,-0.4,-0.06,9.42,0.0,-0.21,-0.36,-0.41,0.15,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
2024-11-25 20:43:49.149000+00:00,53.816214445114404,60.0,60.0,60.0,323.5,-2.375,-0.875,23.0,-63.5,7.25,-32.875,-0.01,-0.011,0.001,-0.4,-0.06,9.42,0.0,-0.21,-0.36,-0.41,0.15,9.79,1.64875,0.0,0.0,315.0,1.9,1.0,1015.88,44.68,-7.2
