,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:09:48.550000+00:00,41.078188551198146,60.0,60.0,60.0,8.875,-0.188,-0.125,22.0,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
2024-11-25 19:09:48.601000+00:00,40.64588405719071,60.0,60.0,60.0,8.875,-0.188,-0.125,22.0,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
2024-11-25 19:09:48.910000+00:00,40.64588405719071,60.0,60.0,60.0,8.875,-0.188,-0.125,22.0,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
2024-11-25 19:09:48.960000+00:00,40.64588405719071,60.0,60.0,60.0,8.875,-0.188,-0.125,22.0,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
2024-11-25 19:09:49.009000+00:00,40.64588405719071,60.0,60.0,60.0,8.875,-0.188,-0.125,22.0,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
2024-11-25 19:09:49.060000+00:00,40.64588405719071,60.0,60.0,60.0,8.875,-0.188,-0.125,22.0,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
2024-11-25 19:09:49.109000+00:00,40.64588405719071,60.0,60.0,60.0,8.875,-0.188,-0.125,22.0,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
2024-11-25 19:09:49.159000+00:00,40.64588405719071,60.0,60.0,60.0,8.875,-0.188,-0.125,22.0,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
2024-11-25 19:09:49.479000+00:00,40.64588405719071,60.0,60.0,60.0,8.875,-0.188,-0.125,21.09,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
2024-11-25 19:09:49.679000+00:00,40.64588405719071,60.0,60.0,60.0,8.875,-0.188,-0.125,21.09,-80.188,-4.062,-13.25,-0.011,-0.018,0.002,-0.2,0.45,9.46,-0.16,0.41,-0.33,-0.01,0.02,9.8,1.26375,-1.25,0.0,45.0,2.0,5.0,1016.2,44.62,-9.84
