,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 18:59:30.726000+00:00,,,,,344.188,-1.75,-0.812,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:31.736000+00:00,,,,,344.062,-1.75,-0.812,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:32.746000+00:00,,,,,344.125,-1.75,-0.812,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:33.889000+00:00,,,,,344.188,-1.75,-0.812,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:35.019000+00:00,,,,,344.312,-1.75,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:35.781000+00:00,,,,,344.312,-1.75,-0.875,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:36.961000+00:00,,,,,344.375,-1.75,-0.875,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:37.942000+00:00,,,,,344.375,-1.75,-0.875,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:38.953000+00:00,,,,,344.375,-1.75,-0.875,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:39.964000+00:00,,,,,343.938,-1.75,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:40.960000+00:00,,,,,343.875,-1.75,-1.0,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:41.956000+00:00,,,,,344.188,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:43.062000+00:00,,,,,344.125,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:44.057000+00:00,,,,,344.312,-1.75,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:45.097000+00:00,,,,,344.312,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:46.254000+00:00,,,,,344.125,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:46.992000+00:00,,,,,344.125,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:47.981000+00:00,,,,,344.125,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:49+00:00,,,,,344.125,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:50.001000+00:00,,,,,344.125,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:50.990000+00:00,,,,,344.125,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:52+00:00,,,,,344.125,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:53.001000+00:00,,,,,344.188,-1.75,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:54.073000+00:00,,,,,344.188,-1.75,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:55.204000+00:00,,,,,344.0,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
2024-11-25 18:59:56.324000+00:00,,,,,343.938,-1.688,-0.938,21.13,-18.688,-12.188,-21.562,0.0,0.004,0.011,-0.27,0.19,9.44,0.03,0.05,-0.35,-0.3,0.14,9.8,0.165,-1.25,0.0,45.0,0.0,5.0,1016.31,44.06,-10.85
