,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:56:13.298000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,21.2,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
2024-11-25 19:56:13.563000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,21.2,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
2024-11-25 19:56:13.711000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,21.2,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
2024-11-25 19:56:13.759000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,22.0,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
2024-11-25 19:56:13.808000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,22.0,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
2024-11-25 19:56:13.858000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,22.0,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
2024-11-25 19:56:14.057000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,22.0,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
2024-11-25 19:56:14.108000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,22.0,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
2024-11-25 19:56:14.158000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,22.0,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
2024-11-25 19:56:14.308000+00:00,50.178292898002454,60.0,60.0,60.0,328.812,-2.875,-0.688,21.2,-72.188,14.062,-4.375,0.008,-0.002,-0.007,0.1,-0.34,9.37,0.59,-0.46,-0.42,-0.49,0.12,9.79,1.8162500000000001,0.0,0.0,180.0,4.1,5.0,1015.76,44.43,-6.15
