,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:57:52.084000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,21.19,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:52.402000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,21.19,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:52.640000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,21.19,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:52.692000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:52.741000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:52.792000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:52.842000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:52.891000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:52.952000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:53.089000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:53.181000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:53.185000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
2024-11-25 19:57:53.309000+00:00,21.387769728669042,60.0,60.0,60.0,327.188,-2.438,-0.125,22.0,-93.375,-3.062,-31.562,-0.007,-0.031,-0.044,-0.92,0.22,9.42,-0.5,0.2,-0.37,-0.42,0.02,9.79,0.94125,-1.25,0.0,180.0,3.2,6.0,1015.77,44.65,-6.28
