,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 19:53:33.151000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,23.0,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:33.201000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,23.0,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:33.251000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,23.0,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:33.302000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,23.0,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:33.352000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,23.0,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:33.402000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,23.0,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:33.602000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,21.2,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:33.818000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,21.2,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:33.951000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,21.2,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:34.042000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,21.2,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:34.045000+00:00,58.54574766269836,60.0,60.0,60.0,327.312,-1.938,-0.125,21.2,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
2024-11-25 19:53:34.113000+00:00,58.54574766269836,60.0,60.0,60.0,327.188,-2.0,0.0,21.2,-94.0,-8.688,-31.25,0.069,0.084,-0.012,-1.08,0.37,9.59,-0.58,0.55,-0.4,-0.34,0.01,9.8,1.94625,11.25,30.0,135.0,4.1,6.0,1015.78,44.55,-6.35
