,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:19:22.539000+00:00,,,,,287.188,-2.625,0.0,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:23.547000+00:00,,,,,287.188,-2.812,-0.125,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:24.557000+00:00,,,,,287.062,-2.625,-0.062,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:25.629000+00:00,,,,,287.062,-2.875,-0.25,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:26.662000+00:00,,,,,287.062,-2.812,-0.188,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:27.863000+00:00,,,,,287.062,-2.625,-0.188,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:28.598000+00:00,,,,,287.062,-2.5,-0.312,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:29.605000+00:00,,,,,287.0,-2.438,-0.5,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:30.615000+00:00,,,,,286.938,-2.5,-0.375,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:31.625000+00:00,,,,,286.938,-2.438,-0.25,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:32.646000+00:00,,,,,287.0,-2.562,-0.25,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:33.870000+00:00,,,,,286.938,-2.5,-0.188,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
2024-11-25 20:19:34.655000+00:00,,,,,286.938,-2.438,-0.188,22.0,-77.5,12.188,-27.688,-0.024,0.002,0.019,-0.82,-0.12,9.51,-0.34,-0.15,-0.27,-0.48,0.02,9.79,0.04625,0.0,0.0,270.0,3.2,2.0,1015.77,45.07,-6.35
