,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:17:40.557000+00:00,,,,,288.875,-3.188,-0.75,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
2024-11-25 20:17:41.564000+00:00,,,,,288.875,-3.25,-0.75,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
2024-11-25 20:17:42.649000+00:00,,,,,288.875,-3.062,-0.625,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
2024-11-25 20:17:43.582000+00:00,,,,,288.812,-3.125,-0.625,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
2024-11-25 20:17:44.720000+00:00,,,,,288.875,-3.125,-0.688,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
2024-11-25 20:17:45.660000+00:00,,,,,288.875,-3.125,-0.688,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
2024-11-25 20:17:46.812000+00:00,,,,,288.812,-3.062,-0.688,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
2024-11-25 20:17:47.640000+00:00,,,,,288.812,-2.875,-0.75,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
2024-11-25 20:17:48.628000+00:00,,,,,288.812,-2.812,-0.688,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
2024-11-25 20:17:49.640000+00:00,,,,,288.75,-2.875,-0.688,21.23,11.25,21.875,-20.5,0.0,0.004,-0.002,-0.67,-0.1,9.41,-0.12,-0.23,-0.37,-0.55,0.13,9.79,0.12625,-1.25,0.0,270.0,2.8,2.0,1015.75,44.95,-6.09
