,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:29:10.656000+00:00,,,,,284.312,-1.938,0.5,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
2024-11-25 20:29:11.677000+00:00,,,,,284.312,-1.812,0.562,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
2024-11-25 20:29:12.816000+00:00,,,,,284.25,-1.688,0.562,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
2024-11-25 20:29:13.600000+00:00,,,,,284.375,-1.812,0.438,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
2024-11-25 20:29:14.608000+00:00,,,,,284.125,-1.562,0.625,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
2024-11-25 20:29:15.620000+00:00,,,,,283.938,-1.375,0.812,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
2024-11-25 20:29:16.631000+00:00,,,,,284.0,-1.312,0.875,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
2024-11-25 20:29:17.642000+00:00,,,,,284.0,-1.312,0.812,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
2024-11-25 20:29:18.653000+00:00,,,,,284.062,-1.25,0.75,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
2024-11-25 20:29:19.681000+00:00,,,,,284.0,-1.125,0.875,21.32,-86.75,11.688,-25.688,-0.013,0.021,0.02,-0.81,-0.11,9.47,-0.48,-0.01,-0.32,-0.33,-0.09,9.8,0.1475,1.25,0.0,270.0,3.4,2.0,1015.78,44.98,-6.4
