,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:21:58.626000+00:00,,,,,73.0,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:21:59.639000+00:00,,,,,73.0,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:00.650000+00:00,,,,,73.0,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:01.802000+00:00,,,,,73.0,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:02.803000+00:00,,,,,73.0,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:04.006000+00:00,,,,,73.0,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:04.817000+00:00,,,,,73.0,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:05.808000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:06.819000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:07.819000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:08.830000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:09.830000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:10.830000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:11.961000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:13.108000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:14.174000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:14.854000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:15.845000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:16.865000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
2024-11-25 20:22:17.861000+00:00,,,,,72.938,-3.5,-0.375,23.0,-50.688,26.688,3.062,-0.002,-0.002,0.0,-0.6,0.07,9.45,0.0,0.0,-0.33,-0.6,0.06,9.78,0.20375000000000001,-1.25,0.0,225.0,0.0,6.0,1015.79,45.16,-6.54
