,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:39:21.260000+00:00,,,,,325.438,-2.688,-0.75,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:22.261000+00:00,,,,,325.375,-2.75,-0.812,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:23.272000+00:00,,,,,325.438,-2.625,-0.688,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:24.274000+00:00,,,,,325.375,-2.688,-0.688,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:25.285000+00:00,,,,,325.375,-2.75,-0.625,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:26.277000+00:00,,,,,325.438,-2.75,-0.625,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:27.389000+00:00,,,,,325.312,-2.812,-0.688,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:28.501000+00:00,,,,,325.375,-2.875,-0.688,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:29.603000+00:00,,,,,325.5,-2.938,-0.562,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:30.304000+00:00,,,,,325.438,-2.875,-0.5,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:31.296000+00:00,,,,,325.438,-2.938,-0.5,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:32.298000+00:00,,,,,325.438,-2.875,-0.562,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
2024-11-25 20:39:33.621000+00:00,,,,,325.438,-2.812,-0.562,23.0,-20.375,-0.375,-15.875,0.006,0.014,-0.009,0.14,0.52,9.4,0.13,0.37,-0.38,-0.47,0.14,9.79,0.02625,0.0,0.0,315.0,3.7,1.0,1015.87,44.94,-7.26
