,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:32:39.731000+00:00,58.68408139434418,60.0,60.0,60.0,41.125,-1.0,0.438,21.45,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
2024-11-25 20:32:40.154000+00:00,58.68408139434418,60.0,60.0,60.0,41.125,-1.0,0.438,21.45,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
2024-11-25 20:32:40.507000+00:00,58.68408139434418,60.0,60.0,60.0,41.125,-1.0,0.438,21.45,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
2024-11-25 20:32:40.558000+00:00,58.68408139434418,60.0,60.0,60.0,41.125,-1.0,0.438,22.0,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
2024-11-25 20:32:40.608000+00:00,58.68408139434418,60.0,60.0,60.0,41.125,-1.0,0.438,22.0,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
2024-11-25 20:32:40.658000+00:00,58.68408139434418,60.0,60.0,60.0,41.125,-1.0,0.438,22.0,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
2024-11-25 20:32:40.708000+00:00,58.68408139434418,60.0,60.0,60.0,41.125,-1.0,0.438,22.0,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
2024-11-25 20:32:40.768000+00:00,58.68408139434418,60.0,60.0,60.0,41.125,-1.0,0.438,22.0,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
2024-11-25 20:32:40.820000+00:00,58.68408139434418,60.0,60.0,60.0,41.125,-1.0,0.438,22.0,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
2024-11-25 20:32:40.874000+00:00,60.852892052683465,60.0,60.0,60.0,41.125,-1.0,0.438,22.0,20.688,29.875,-30.062,0.003,-0.013,-0.03,0.04,0.15,9.41,0.22,0.24,-0.38,-0.17,-0.08,9.8,1.99125,10.0,30.0,270.0,3.6,1.0,1015.78,44.87,-6.72
