,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 20:06:24.836000+00:00,27.571836400020988,60.0,60.0,60.0,256.125,-1.5,-0.062,21.44,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
2024-11-26 20:06:25.181000+00:00,27.571836400020988,60.0,60.0,60.0,256.125,-1.5,-0.062,21.44,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
2024-11-26 20:06:25.231000+00:00,27.871517535374284,60.0,60.0,60.0,256.125,-1.5,-0.062,21.44,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
2024-11-26 20:06:25.280000+00:00,27.871517535374284,60.0,60.0,60.0,256.125,-1.5,-0.062,21.44,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
2024-11-26 20:06:25.328000+00:00,27.871517535374284,60.0,60.0,60.0,256.125,-1.5,-0.062,22.0,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
2024-11-26 20:06:25.378000+00:00,27.871517535374284,60.0,60.0,60.0,256.125,-1.5,-0.062,22.0,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
2024-11-26 20:06:25.427000+00:00,27.871517535374284,60.0,60.0,60.0,256.125,-1.5,-0.062,22.0,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
2024-11-26 20:06:25.478000+00:00,27.871517535374284,60.0,60.0,60.0,256.125,-1.5,-0.062,22.0,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
2024-11-26 20:06:25.525000+00:00,27.871517535374284,60.0,60.0,60.0,256.125,-1.5,-0.062,22.0,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
2024-11-26 20:06:25.575000+00:00,27.871517535374284,60.0,60.0,60.0,256.125,-1.5,-0.062,22.0,-97.562,-4.75,-18.25,0.023,-0.027,-0.006,0.02,-0.2,9.47,0.29,-0.22,-0.33,-0.26,0.01,9.8,1.055,1.25,0.0,135.0,5.4,7.0,1020.6,43.37,-46.81
