,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 20:41:33.994000+00:00,56.47065253959445,45.0,45.0,45.0,168.25,-0.625,-0.938,21.65,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:34.311000+00:00,56.47065253959445,45.0,45.0,45.0,168.25,-0.625,-0.938,21.65,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:34.706000+00:00,56.47065253959445,45.0,45.0,45.0,168.25,-0.625,-0.938,21.65,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:34.766000+00:00,56.47065253959445,45.0,45.0,45.0,168.25,-0.625,-0.938,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:34.824000+00:00,56.47065253959445,45.0,45.0,45.0,168.25,-0.625,-0.938,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:34.885000+00:00,56.47065253959445,45.0,45.0,45.0,168.25,-0.625,-0.938,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:34.945000+00:00,56.47065253959445,45.0,45.0,45.0,168.25,-0.625,-0.938,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.004000+00:00,56.47065253959445,45.0,45.0,45.0,168.25,-0.625,-0.938,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.063000+00:00,56.47065253959445,45.0,45.0,45.0,168.25,-0.625,-0.938,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.124000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.344000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.442000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.454000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,21.72,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.508000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,21.72,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.568000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,21.72,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.627000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,21.72,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.687000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,21.72,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.745000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,21.72,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.803000+00:00,56.198319183890156,45.0,45.0,45.0,168.25,-0.625,-0.938,21.72,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.850000+00:00,56.198319183890156,45.0,45.0,45.0,168.312,-0.75,-0.812,21.72,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.908000+00:00,56.198319183890156,45.0,45.0,45.0,168.312,-0.75,-0.812,23.0,-60.375,-1.062,-19.875,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:35.957000+00:00,56.198319183890156,45.0,45.0,45.0,168.312,-0.75,-0.812,23.0,-62.062,0.188,-20.0,0.013,-0.007,-0.032,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:36.017000+00:00,56.198319183890156,45.0,45.0,45.0,168.312,-0.75,-0.812,23.0,-62.062,0.188,-20.0,-0.017,-0.012,-0.021,-0.04,-0.06,9.41,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:36.068000+00:00,56.198319183890156,45.0,45.0,45.0,168.312,-0.75,-0.812,23.0,-62.062,0.188,-20.0,-0.017,-0.012,-0.021,-0.26,-0.43,9.52,0.06,-0.23,-0.38,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:36.120000+00:00,56.198319183890156,45.0,45.0,45.0,168.312,-0.75,-0.812,23.0,-62.062,0.188,-20.0,-0.017,-0.012,-0.021,-0.26,-0.43,9.52,-0.12,-0.57,-0.28,-0.1,0.17,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:36.172000+00:00,56.198319183890156,45.0,45.0,45.0,168.312,-0.75,-0.812,23.0,-62.062,0.188,-20.0,-0.017,-0.012,-0.021,-0.26,-0.43,9.52,-0.12,-0.57,-0.28,-0.13,0.13,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:36.232000+00:00,56.47077427913522,45.0,45.0,45.0,168.312,-0.75,-0.812,23.0,-62.062,0.188,-20.0,-0.017,-0.012,-0.021,-0.26,-0.43,9.52,-0.12,-0.57,-0.28,-0.13,0.13,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:36.392000+00:00,56.47077427913522,45.0,45.0,45.0,168.312,-0.75,-0.812,23.0,-62.062,0.188,-20.0,-0.017,-0.012,-0.021,-0.26,-0.43,9.52,-0.12,-0.57,-0.28,-0.13,0.13,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:36.489000+00:00,56.47077427913522,45.0,45.0,45.0,168.312,-0.75,-0.812,23.0,-62.062,0.188,-20.0,-0.017,-0.012,-0.021,-0.26,-0.43,9.52,-0.12,-0.57,-0.28,-0.13,0.13,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
2024-11-26 20:41:36.501000+00:00,56.47077427913522,45.0,45.0,45.0,168.312,-0.75,-0.812,21.72,-62.062,0.188,-20.0,-0.017,-0.012,-0.021,-0.26,-0.43,9.52,-0.12,-0.57,-0.28,-0.13,0.13,9.8,1.8325,1.25,0.0,0.0,6.5,1.0,1020.04,42.92,-41.49
