,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 20:43:17.234000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,21.71,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:17.471000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,21.71,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:17.530000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,23.0,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:17.588000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,23.0,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:17.648000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,23.0,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:17.706000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,23.0,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:17.767000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,23.0,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:17.880000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,23.0,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.352000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,21.71,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.466000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.0,-0.625,21.71,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.578000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,21.71,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.628000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-94.562,-6.688,-20.375,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.680000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,-0.023,0.0,-0.011,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.733000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,-0.08,-0.11,9.49,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.792000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.08,-0.04,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.855000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.910000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:18.970000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.027000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.086000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.145000+00:00,40.19735583451158,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.197000+00:00,41.557907080024606,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.382000+00:00,41.557907080024606,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.483000+00:00,41.557907080024606,45.0,45.0,45.0,170.875,-1.062,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.494000+00:00,41.557907080024606,45.0,45.0,45.0,170.875,-1.062,-0.562,21.71,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.548000+00:00,41.557907080024606,45.0,45.0,45.0,170.875,-1.062,-0.562,21.71,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.604000+00:00,41.557907080024606,45.0,45.0,45.0,170.875,-1.062,-0.562,21.71,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.658000+00:00,41.557907080024606,45.0,45.0,45.0,170.875,-1.062,-0.562,21.71,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.718000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,21.71,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.777000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,23.0,-54.562,-7.0,-27.875,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.835000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,23.0,-83.688,4.5,-3.25,0.042,0.001,-0.029,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.891000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,23.0,-83.688,4.5,-3.25,0.004,-0.013,-0.043,0.15,-0.44,9.46,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:19.944000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,23.0,-83.688,4.5,-3.25,0.004,-0.013,-0.043,-0.19,-0.28,9.45,0.34,-0.53,-0.33,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:20.004000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,23.0,-83.688,4.5,-3.25,0.004,-0.013,-0.043,-0.19,-0.28,9.45,0.09,-0.05,-0.39,-0.19,0.1,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:20.066000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,23.0,-83.688,4.5,-3.25,0.004,-0.013,-0.043,-0.19,-0.28,9.45,0.09,-0.05,-0.39,-0.19,0.09,9.8,1.47125,1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:20.122000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,23.0,-83.688,4.5,-3.25,0.004,-0.013,-0.043,-0.19,-0.28,9.45,0.09,-0.05,-0.39,-0.19,0.09,9.8,1.47125,-1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:20.180000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,23.0,-83.688,4.5,-3.25,0.004,-0.013,-0.043,-0.19,-0.28,9.45,0.09,-0.05,-0.39,-0.19,0.09,9.8,1.30125,-1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
2024-11-26 20:43:20.232000+00:00,41.557907080024606,45.0,45.0,45.0,170.812,-1.125,-0.562,23.0,-83.688,4.5,-3.25,0.004,-0.013,-0.043,-0.19,-0.28,9.45,0.09,-0.05,-0.39,-0.19,0.09,9.8,1.30125,-1.25,0.0,0.0,5.3,1.0,1020.03,42.92,-41.79
