,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 19:26:09.309000+00:00,,,,,293.375,-0.688,0.375,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:10.319000+00:00,,,,,293.375,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:11.327000+00:00,,,,,293.375,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:12.473000+00:00,,,,,293.312,-0.562,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:13.597000+00:00,,,,,293.312,-0.625,0.125,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:14.360000+00:00,,,,,293.375,-0.625,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:15.371000+00:00,,,,,293.312,-0.688,0.125,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:16.378000+00:00,,,,,293.312,-0.688,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:17.387000+00:00,,,,,293.312,-0.625,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:18.398000+00:00,,,,,293.188,-0.625,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:19.408000+00:00,,,,,293.188,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:20.421000+00:00,,,,,293.062,-0.688,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:21.486000+00:00,,,,,293.125,-0.75,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:22.727000+00:00,,,,,293.062,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:23.832000+00:00,,,,,293.062,-0.688,0.312,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:24.753000+00:00,,,,,293.062,-0.625,0.312,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:25.923000+00:00,,,,,293.0,-0.688,0.312,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:26.632000+00:00,,,,,293.0,-0.688,0.312,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:27.626000+00:00,,,,,292.938,-0.75,0.312,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:28.622000+00:00,,,,,292.938,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:29.634000+00:00,,,,,292.812,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:30.626000+00:00,,,,,292.75,-0.688,0.312,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:31.646000+00:00,,,,,292.5,-0.688,0.312,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:32.626000+00:00,,,,,292.5,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:33.645000+00:00,,,,,292.438,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:34.978000+00:00,,,,,292.125,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:35.649000+00:00,,,,,292.125,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:36.647000+00:00,,,,,292.062,-0.75,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:37.663000+00:00,,,,,292.062,-0.688,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:38.668000+00:00,,,,,292.062,-0.688,0.062,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:39.674000+00:00,,,,,292.0,-0.625,0.125,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:40.758000+00:00,,,,,292.0,-0.625,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:41.920000+00:00,,,,,291.938,-0.625,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:42.964000+00:00,,,,,291.938,-0.625,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:43.998000+00:00,,,,,291.938,-0.625,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:44.982000+00:00,,,,,291.875,-0.625,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:45.690000+00:00,,,,,291.812,-0.625,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:46.705000+00:00,,,,,291.812,-0.812,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:47.698000+00:00,,,,,291.75,-0.688,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:48.710000+00:00,,,,,291.688,-0.688,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:49.707000+00:00,,,,,291.688,-0.688,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:50.726000+00:00,,,,,291.625,-0.75,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:51.809000+00:00,,,,,291.562,-0.688,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:52.821000+00:00,,,,,291.5,-0.688,0.188,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:53.983000+00:00,,,,,291.438,-0.625,0.25,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
2024-11-26 19:26:55.055000+00:00,,,,,291.438,-0.562,0.312,21.14,14.0,-37.75,-10.562,-0.001,-0.007,0.029,-0.1,0.18,9.41,-0.02,0.26,-0.35,-0.12,-0.06,9.8,0.0775,0.0,0.0,90.0,4.8,1.0,1021.27,42.81,-52.16
