,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 17:55:53.465000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
2024-11-25 17:55:53.510000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
2024-11-25 17:55:53.560000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
2024-11-25 17:55:53.609000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
2024-11-25 17:55:53.659000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
2024-11-25 17:55:53.721000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
2024-11-25 17:55:53.780000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
2024-11-25 17:55:53.829000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
2024-11-25 17:55:53.879000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
2024-11-25 17:55:53.929000+00:00,53.72260679193603,60.0,60.0,60.0,8.125,-2.75,-1.5,22.0,-74.5,20.5,-33.75,-0.017,0.031,0.047,-0.52,0.3,9.46,-0.04,0.04,-0.32,-0.47,0.26,9.79,1.68625,0.0,0.0,45.0,0.8,1.0,1016.88,43.63,-15.66
