,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 20:31:34.595000+00:00,20.922879492417525,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:34.652000+00:00,20.721091430188647,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:34.716000+00:00,20.519303367959772,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:34.766000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:34.915000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.283000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.342000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,22.0,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.402000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,22.0,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.452000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,22.0,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.502000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,22.0,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.551000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,22.0,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.612000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,22.0,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.868000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,22.0,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.960000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,22.0,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:35.964000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.018000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.083000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.145000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.203000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.263000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.322000+00:00,20.317515305730886,15.0,15.0,15.0,19.438,-1.25,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.377000+00:00,20.317515305730886,15.0,15.0,15.0,19.375,-1.188,0.125,21.53,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.425000+00:00,20.317515305730886,15.0,15.0,15.0,19.375,-1.188,0.125,22.0,-95.188,12.188,-23.5,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.475000+00:00,20.317515305730886,15.0,15.0,15.0,19.375,-1.188,0.125,22.0,-73.375,3.25,-23.875,0.011,0.008,-0.008,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
2024-11-26 20:31:36.534000+00:00,20.317515305730886,15.0,15.0,15.0,19.375,-1.188,0.125,22.0,-73.375,3.25,-23.875,-0.019,0.009,0.012,-0.35,0.02,9.41,-0.14,0.05,-0.39,-0.21,-0.02,9.8,0.8075,-1.25,0.0,180.0,5.0,6.0,1020.24,43.25,-43.34
