,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 20:17:51.757000+00:00,41.96765635193339,45.0,45.0,45.0,34.688,-1.0,0.188,21.54,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:51.813000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,21.54,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.168000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,21.54,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.401000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,21.54,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.449000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,23.0,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.501000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,23.0,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.554000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,23.0,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.614000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,23.0,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.668000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,23.0,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.717000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,23.0,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.879000+00:00,41.967578015323824,45.0,45.0,45.0,34.688,-1.0,0.188,23.0,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:52.996000+00:00,41.96760315712516,45.0,45.0,45.0,34.688,-1.0,0.188,23.0,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.164000+00:00,41.96760315712516,45.0,45.0,45.0,34.688,-1.0,0.188,21.54,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.284000+00:00,41.96760315712516,45.0,45.0,45.0,34.688,-1.0,0.188,21.54,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.403000+00:00,42.1104647524197,45.0,45.0,45.0,34.688,-1.0,0.188,21.54,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.461000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,21.54,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.513000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-92.5,-6.75,-15.375,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.569000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.017,-0.002,0.021,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.628000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,-0.03,-0.11,9.44,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.688000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.44,-0.04,-0.43,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.747000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.17,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.805000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.16,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.859000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.16,-0.04,9.8,1.35125,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.910000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.16,-0.04,9.8,1.33,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:53.959000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.16,-0.04,9.8,1.33,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:54.012000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.16,-0.04,9.8,1.33,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:54.069000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.16,-0.04,9.8,1.33,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:54.120000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,23.0,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.16,-0.04,9.8,1.33,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:54.168000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,21.54,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.16,-0.04,9.8,1.33,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
2024-11-26 20:17:54.217000+00:00,42.1104647524197,45.0,45.0,45.0,34.562,-0.875,0.25,21.54,-141.062,-13.0,20.688,-0.006,-0.003,0.026,0.03,0.23,9.39,0.19,0.28,-0.41,-0.16,-0.04,9.8,1.33,-1.25,0.0,180.0,5.3,6.0,1020.58,43.23,-45.93
