,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value
2024-11-13 21:02:49.083000+00:00,0.0,359.812,-1.375,-1.0,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
2024-11-13 21:02:50.089000+00:00,0.0,359.812,-1.312,-1.125,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
2024-11-13 21:02:51.088000+00:00,0.0,359.75,-1.312,-1.125,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
2024-11-13 21:02:52.055000+00:00,0.0,359.75,-1.438,-1.062,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
2024-11-13 21:02:53.024000+00:00,0.0,359.75,-1.562,-1.188,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
2024-11-13 21:02:54.203000+00:00,0.0,359.75,-1.562,-1.25,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
2024-11-13 21:02:56.109000+00:00,0.0,359.688,-1.625,-1.25,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
2024-11-13 21:02:57.077000+00:00,0.0,359.688,-1.625,-1.25,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
2024-11-13 21:02:58.065000+00:00,0.0,359.75,-1.562,-1.25,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
2024-11-13 21:02:59.074000+00:00,0.0,359.688,-1.625,-1.312,23.0,-24.062,-4.25,-56.688,0.0,-0.009,-0.007,-0.15,0.0,9.42,0.08,-0.17,-0.34,-0.25,0.21,9.8,0.11750000000000001,1.25,0.0,0.0
