,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:16:28.691000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,23.0,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
2024-11-25 21:16:29.338000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,23.0,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
2024-11-25 21:16:29.391000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,23.0,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
2024-11-25 21:16:29.440000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,23.0,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
2024-11-25 21:16:29.490000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,23.0,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
2024-11-25 21:16:29.540000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,23.0,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
2024-11-25 21:16:29.591000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,23.0,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
2024-11-25 21:16:29.641000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,23.0,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
2024-11-25 21:16:29.822000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,21.56,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
2024-11-25 21:16:30.032000+00:00,57.72222169458585,60.0,60.0,45.0,26.5,0.125,-0.375,21.56,-103.0,-32.0,-32.688,0.007,0.0,-0.033,-0.26,-0.13,9.42,-0.29,-0.2,-0.38,0.02,0.05,9.8,2.0,3.75,10.0,0.0,3.1,8.0,1015.87,45.01,-7.38
