,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:18:31.642000+00:00,63.18757839441567,60.0,60.0,45.0,1.438,1.875,1.0,23.0,-43.75,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:31.702000+00:00,63.18757839441567,60.0,60.0,45.0,1.438,1.875,1.0,23.0,-43.75,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:31.761000+00:00,63.18757839441567,60.0,60.0,45.0,1.438,1.875,1.0,23.0,-43.75,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.226000+00:00,63.18757839441567,60.0,60.0,45.0,1.438,1.875,1.0,23.0,-43.75,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.378000+00:00,63.18757839441567,60.0,60.0,45.0,1.438,1.875,1.0,21.56,-43.75,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.579000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,21.56,-43.75,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.630000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-43.75,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.677000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.729000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.784000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.844000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.904000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:32.965000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.023000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.083000+00:00,63.18757839441567,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.141000+00:00,63.18765407094213,60.0,60.0,45.0,1.312,1.875,0.875,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.370000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.429000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,23.0,-49.062,-38.0,-39.25,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.479000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,23.0,-56.5,-39.25,-37.188,-0.049,-0.051,-0.017,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.530000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,23.0,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.07,-0.44,9.52,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.581000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,23.0,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.25,-0.28,-0.27,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.635000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,23.0,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.33,-0.16,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.690000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,23.0,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.742000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,23.0,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.792000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,23.0,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.840000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,21.56,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.891000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,21.56,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.940000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,21.56,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:33.990000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,21.56,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.795,1.25,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:34.042000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,21.56,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.795,3.75,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:34.091000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,21.56,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.90625,3.75,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:34.141000+00:00,63.18765407094213,60.0,60.0,45.0,1.375,1.875,1.0,21.56,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.90625,3.75,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:34.190000+00:00,63.18720989018327,60.0,60.0,45.0,1.375,1.875,1.0,21.56,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.90625,3.75,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:34.380000+00:00,63.18720989018327,60.0,60.0,45.0,1.062,1.875,1.062,21.56,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.90625,3.75,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:34.431000+00:00,63.18720989018327,60.0,60.0,45.0,1.062,1.875,1.062,23.0,-56.5,-39.25,-37.188,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.90625,3.75,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
2024-11-25 21:18:34.486000+00:00,63.18720989018327,60.0,60.0,45.0,1.062,1.875,1.062,23.0,-72.062,-43.562,-32.5,0.007,-0.024,-0.021,0.03,0.51,9.6,-0.29,0.69,-0.19,0.32,-0.17,9.79,1.90625,3.75,0.0,45.0,2.8,8.0,1015.96,45.04,-8.06
