,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:30:37.408000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:37.616000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:37.670000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:37.728000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:37.779000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:37.829000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:37.887000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:37.948000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:37.999000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:38.048000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
2024-11-25 21:30:38.109000+00:00,42.82375872090473,60.0,60.0,45.0,61.125,0.0,0.312,23.0,-69.562,7.25,-16.875,-0.021,-0.001,-0.027,-0.01,0.21,9.49,-0.02,0.27,-0.31,0.0,-0.06,9.8,1.5925,0.0,0.0,45.0,2.5,8.0,1015.99,45.15,-8.16
