,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 21:34:06.699000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,21.56,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:06.865000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,21.56,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.326000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,21.56,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.382000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.433000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.483000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.534000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.581000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.632000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.682000+00:00,47.47550722731857,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.732000+00:00,47.47554557872529,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.782000+00:00,47.47554557872529,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.834000+00:00,47.47554557872529,60.0,45.0,45.0,18.562,-0.25,0.0,23.0,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.885000+00:00,47.47554557872529,60.0,45.0,45.0,18.562,-0.25,0.0,21.56,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.932000+00:00,47.47554557872529,60.0,45.0,45.0,18.562,-0.25,0.0,21.56,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:07.983000+00:00,47.47554557872529,60.0,45.0,45.0,18.562,-0.25,0.0,21.56,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
2024-11-25 21:34:08.042000+00:00,47.47554557872529,60.0,45.0,45.0,18.562,-0.25,0.0,21.56,-64.0,-28.188,-49.375,-0.017,-0.021,-0.066,-0.21,-0.45,9.38,-0.16,-0.45,-0.42,-0.04,0.0,9.8,1.8275000000000001,1.25,0.0,0.0,1.9,8.0,1016.0,45.08,-8.37
