,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-26 19:20:52.938000+00:00,47.267369015567844,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
2024-11-26 19:20:54.079000+00:00,47.459513880528206,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
2024-11-26 19:20:54.180000+00:00,47.651741136608635,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
2024-11-26 19:20:55.215000+00:00,47.84384930532569,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
2024-11-26 19:20:56.431000+00:00,47.84409139533244,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
2024-11-26 19:20:56.531000+00:00,47.844157732205744,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
2024-11-26 19:20:57.832000+00:00,47.844145900625776,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
2024-11-26 19:20:59.233000+00:00,47.67955205125044,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
2024-11-26 19:21:00.549000+00:00,47.67967416206926,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
2024-11-26 19:21:00.634000+00:00,47.48768911011411,60.0,60.0,60.0,,,,21.09,,,,,,,,,,,,,,,,,,,45.0,4.7,1.0,1021.44,42.92,-53.68
