,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value
2024-11-13 05:19:34.633000+00:00,66.60272260851225,158.375,-0.562,1.312,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
2024-11-13 05:19:34.898000+00:00,66.60272260851225,158.375,-0.562,1.312,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
2024-11-13 05:19:35.534000+00:00,66.60198579447005,158.375,-0.562,1.312,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
2024-11-13 05:19:35.908000+00:00,66.60198579447005,158.312,-0.375,1.562,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
2024-11-13 05:19:35.916000+00:00,66.60198579447005,158.312,-0.375,1.562,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
2024-11-13 05:19:35.918000+00:00,66.60198579447005,158.312,-0.375,1.562,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
2024-11-13 05:19:35.921000+00:00,66.60198579447005,158.312,-0.375,1.562,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
2024-11-13 05:19:35.923000+00:00,66.60198579447005,158.312,-0.375,1.562,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
2024-11-13 05:19:36.443000+00:00,66.60113264520683,158.312,-0.375,1.562,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
2024-11-13 05:19:36.916000+00:00,66.60113264520683,158.375,-0.438,1.25,25.0,-22.75,-0.688,-52.375,0.023,-0.03,0.014,-0.08,0.45,9.44,-0.83,0.66,-0.35,-0.07,-0.21,9.8,1.84125,3.75,10.0,90.0
