,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-22 21:20:28.757000+00:00,56.019642601310196,60.0,60.0,60.0,345.875,0.312,0.25,20.61,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
2024-11-22 21:20:29.338000+00:00,56.019642601310196,60.0,60.0,60.0,345.875,0.312,0.25,20.61,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
2024-11-22 21:20:29.711000+00:00,56.01969460748275,60.0,60.0,60.0,345.875,0.312,0.25,20.61,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
2024-11-22 21:20:29.868000+00:00,56.01969460748275,60.0,60.0,60.0,345.875,0.312,0.25,20.61,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
2024-11-22 21:20:29.920000+00:00,56.01969460748275,60.0,60.0,60.0,345.875,0.312,0.25,22.0,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
2024-11-22 21:20:29.971000+00:00,56.01969460748275,60.0,60.0,60.0,345.875,0.312,0.25,22.0,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
2024-11-22 21:20:30.027000+00:00,56.01969460748275,60.0,60.0,60.0,345.875,0.312,0.25,22.0,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
2024-11-22 21:20:30.091000+00:00,56.01969460748275,60.0,60.0,60.0,345.875,0.312,0.25,22.0,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
2024-11-22 21:20:30.139000+00:00,56.01969460748275,60.0,60.0,60.0,345.875,0.312,0.25,22.0,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
2024-11-22 21:20:30.186000+00:00,56.01969460748275,60.0,60.0,60.0,345.875,0.312,0.25,22.0,-97.062,-1.25,-11.0,-0.03,-0.011,-0.002,-0.13,0.16,9.39,-0.19,0.21,-0.41,0.05,-0.05,9.8,1.79,1.25,10.0,0.0,0.5,5.0,1019.76,43.91,-39.61
