,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 17:00:49.870000+00:00,48.41622366967724,60.0,60.0,60.0,13.938,-0.188,-0.75,22.0,-86.875,-2.0,-4.188,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
2024-11-25 17:00:50.039000+00:00,48.41622366967724,60.0,60.0,60.0,13.938,-0.188,-0.75,22.0,-86.875,-2.0,-4.188,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
2024-11-25 17:00:50.094000+00:00,48.41622366967724,60.0,60.0,60.0,13.938,-0.188,-0.75,22.0,-86.875,-2.0,-4.188,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
2024-11-25 17:00:50.140000+00:00,48.41622366967724,60.0,60.0,60.0,13.938,-0.188,-0.75,22.0,-86.875,-2.0,-4.188,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
2024-11-25 17:00:50.187000+00:00,48.41622366967724,60.0,60.0,60.0,13.938,-0.188,-0.75,22.0,-86.875,-2.0,-4.188,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
2024-11-25 17:00:50.463000+00:00,48.41622366967724,60.0,60.0,60.0,13.938,-0.188,-0.75,20.78,-86.875,-2.0,-4.188,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
2024-11-25 17:00:50.971000+00:00,48.41589088024718,60.0,60.0,60.0,13.938,-0.188,-0.75,20.78,-86.875,-2.0,-4.188,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
2024-11-25 17:00:51.047000+00:00,48.41589088024718,60.0,60.0,60.0,14.125,-0.312,-0.688,20.78,-86.875,-2.0,-4.188,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
2024-11-25 17:00:51.100000+00:00,48.41589088024718,60.0,60.0,60.0,14.125,-0.312,-0.688,22.0,-86.875,-2.0,-4.188,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
2024-11-25 17:00:51.147000+00:00,48.41589088024718,60.0,60.0,60.0,14.125,-0.312,-0.688,22.0,-112.375,-18.0,13.688,-0.004,-0.011,0.018,-0.14,-0.07,9.59,-0.08,-0.19,-0.21,-0.06,0.12,9.8,1.82875,0.0,0.0,0.0,0.0,6.0,1017.39,43.67,-19.78
