,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 17:05:01.150000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
2024-11-25 17:05:01.198000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
2024-11-25 17:05:01.339000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
2024-11-25 17:05:01.520000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
2024-11-25 17:05:01.565000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
2024-11-25 17:05:01.613000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
2024-11-25 17:05:01.658000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
2024-11-25 17:05:01.704000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
2024-11-25 17:05:01.797000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
2024-11-25 17:05:01.844000+00:00,0,60,60,60,21.812,-0.625,-0.875,20.79,-160.75,-25.875,3.062,-0.001,-0.001,-0.001,-0.12,0.12,9.43,0,-0.02,-0.36,-0.11,0.15,9.8,0.0425,1.25,0,0,0,6,1017.3,43.77,-19.21
