,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 16:51:13.508000+00:00,53.08897006522783,60.0,60.0,60.0,1.125,-2.75,-7.062,22.0,-68.188,4.25,-9.5,0.044,-0.023,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:13.597000+00:00,53.08897006522783,60.0,60.0,60.0,1.125,-2.75,-7.062,22.0,-68.188,4.25,-9.5,0.044,-0.023,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:13.651000+00:00,53.08897006522783,60.0,60.0,60.0,1.125,-2.75,-7.062,22.0,-68.188,4.25,-9.5,0.044,-0.023,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:13.705000+00:00,53.08897006522783,60.0,60.0,60.0,1.125,-2.75,-7.062,22.0,-68.188,4.25,-9.5,0.044,-0.023,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:13.752000+00:00,53.08897006522783,60.0,60.0,60.0,1.125,-2.75,-7.062,22.0,-68.188,4.25,-9.5,0.044,-0.023,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:14.058000+00:00,53.08897006522783,60.0,60.0,60.0,1.125,-2.75,-7.062,20.8,-68.188,4.25,-9.5,0.044,-0.023,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:14.605000+00:00,53.08897006522783,60.0,60.0,60.0,0.062,-2.875,-7.312,20.8,-68.188,4.25,-9.5,0.044,-0.023,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:14.666000+00:00,53.08897006522783,60.0,60.0,60.0,0.062,-2.875,-7.312,22.0,-68.188,4.25,-9.5,0.044,-0.023,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:14.721000+00:00,53.08897006522783,60.0,60.0,60.0,0.062,-2.875,-7.312,22.0,-5.875,19.562,-47.562,0.044,-0.023,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:14.777000+00:00,53.08897006522783,60.0,60.0,60.0,0.062,-2.875,-7.312,22.0,-5.875,19.562,-47.562,-0.008,0.034,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
2024-11-25 16:51:14.832000+00:00,53.08897006522783,60.0,60.0,60.0,0.062,-2.875,-7.312,22.0,-5.875,19.562,-47.562,-0.008,0.034,0.078,-0.61,0.56,9.55,-0.11,-0.69,-0.15,-0.5,1.25,9.71,2.20875,32.5,80.0,0.0,1.2,6.0,1017.47,43.58,-20.33
