,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-22 21:22:36.093000+00:00,56.01353143963968,60.0,60.0,60.0,344.062,0.375,0.5,22.0,-69.062,-2.562,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
2024-11-22 21:22:36.188000+00:00,56.01353143963968,60.0,60.0,60.0,344.062,0.375,0.5,22.0,-69.062,-2.562,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
2024-11-22 21:22:36.199000+00:00,56.01353143963968,60.0,60.0,60.0,344.062,0.375,0.5,22.0,-69.062,-2.562,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
2024-11-22 21:22:36.585000+00:00,56.01353143963968,60.0,60.0,60.0,344.062,0.375,0.5,20.61,-69.062,-2.562,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
2024-11-22 21:22:36.801000+00:00,56.01353143963968,60.0,60.0,60.0,344.062,0.375,0.5,20.61,-69.062,-2.562,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
2024-11-22 21:22:37.100000+00:00,56.01353143963968,60.0,60.0,60.0,343.875,0.438,0.562,20.61,-69.062,-2.562,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
2024-11-22 21:22:37.197000+00:00,56.01353143963968,60.0,60.0,60.0,343.875,0.438,0.562,22.0,-69.062,-2.562,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
2024-11-22 21:22:37.206000+00:00,56.01353143963968,60.0,60.0,60.0,343.875,0.438,0.562,22.0,-72.188,0.875,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
2024-11-22 21:22:37.257000+00:00,56.01353143963968,60.0,60.0,60.0,343.875,0.438,0.562,22.0,-72.188,0.875,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
2024-11-22 21:22:37.304000+00:00,56.01353143963968,60.0,60.0,60.0,343.875,0.438,0.562,22.0,-72.188,0.875,-37.688,0.001,-0.002,-0.023,-0.2,-0.01,9.38,-0.27,-0.25,-0.42,0.08,-0.09,9.8,1.8225,1.25,10.0,0.0,0.5,5.0,1019.75,43.86,-39.5
